segment_onset,segment_offset,speaker_type,phonemes,syllables,words,raw_filename
40006,42991,FEM,25.1,12.24,8.37,20181115_130044_024882.txt
49233,49846,FEM,5.68,2.19,1.6,20181115_130044_024882.txt
53011,54511,FEM,14.59,7.03,4.67,20181115_130044_024882.txt
60173,61012,FEM,11.91,5.57,3.66,20181115_130044_024882.txt
60266,61466,MAL,10.81,4.71,3.41,20181115_130044_024882.txt
61621,61729,MAL,11.67,5.77,3.51,20181115_130044_024882.txt
69987,71899,FEM,14.96,6.62,4.81,20181115_130044_024882.txt
110936,113275,FEM,28.9,14.38,9.21,20181115_130044_024882.txt
114796,115992,FEM,18.67,9.31,5.87,20181115_130044_024882.txt
116660,117266,MAL,14.73,7.42,4.62,20181115_130044_024882.txt
118942,119300,FEM,12.04,5.93,3.68,20181115_130044_024882.txt
123290,124991,FEM,17.91,8.75,5.81,20181115_130044_024882.txt
126993,128512,FEM,14.87,7.14,4.77,20181115_130044_024882.txt
130493,131688,FEM,9.48,4.16,2.91,20181115_130044_024882.txt
134003,135512,MAL,13.67,6.06,4.31,20181115_130044_024882.txt
134543,135993,FEM,13.48,5.99,4.24,20181115_130044_024882.txt
142992,144511,FEM,11.11,5.22,3.56,20181115_130044_024882.txt
144431,144628,MAL,4.16,1.61,1.03,20181115_130044_024882.txt
146406,148202,FEM,15.29,7.03,4.85,20181115_130044_024882.txt
148510,153675,FEM,43.46,20.86,14.27,20181115_130044_024882.txt
157143,160915,FEM,33.65,16.51,11.08,20181115_130044_024882.txt
158993,159329,MAL,8.81,4.09,2.6,20181115_130044_024882.txt
159492,161053,MAL,15.56,7.18,4.79,20181115_130044_024882.txt
165011,167404,FEM,21.3,10.08,6.79,20181115_130044_024882.txt
168510,174050,FEM,46.29,22.43,15.28,20181115_130044_024882.txt
169366,169963,MAL,4.24,1.6,1.12,20181115_130044_024882.txt
171511,174012,MAL,22.89,10.65,7.18,20181115_130044_024882.txt
175595,175750,FEM,11.57,5.73,3.49,20181115_130044_024882.txt
176232,178471,FEM,21.08,10.22,6.95,20181115_130044_024882.txt
181992,182542,FEM,9.69,4.47,2.93,20181115_130044_024882.txt
185492,186894,FEM,14.03,6.53,4.36,20181115_130044_024882.txt
185512,187017,MAL,14.77,6.9,4.62,20181115_130044_024882.txt
190871,199511,FEM,61.0,28.69,20.75,20181115_130044_024882.txt
198595,200726,MAL,20.08,9.64,6.55,20181115_130044_024882.txt
201012,210332,FEM,69.53,33.63,23.71,20181115_130044_024882.txt
204992,206511,MAL,13.81,6.45,4.36,20181115_130044_024882.txt
212510,216147,FEM,30.19,14.29,9.86,20181115_130044_024882.txt
217011,226010,FEM,59.55,27.55,20.43,20181115_130044_024882.txt
224966,226512,MAL,12.07,5.23,3.78,20181115_130044_024882.txt
230918,231598,FEM,10.82,5.13,3.32,20181115_130044_024882.txt
232932,239728,FEM,56.99,28.9,19.53,20181115_130044_024882.txt
233116,233470,MAL,9.86,4.76,2.95,20181115_130044_024882.txt
235275,235456,MAL,7.95,3.72,2.28,20181115_130044_024882.txt
240123,241449,MAL,15.62,7.64,4.98,20181115_130044_024882.txt
241010,243010,FEM,20.31,10.09,6.66,20181115_130044_024882.txt
242511,243044,MAL,13.18,6.54,4.09,20181115_130044_024882.txt
245511,245992,FEM,7.81,3.56,2.29,20181115_130044_024882.txt
246491,247139,FEM,9.59,4.47,2.91,20181115_130044_024882.txt
247327,248274,MAL,10.5,4.69,3.26,20181115_130044_024882.txt
249556,249666,FEM,10.41,5.1,3.09,20181115_130044_024882.txt
