segment_onset,segment_offset,speaker_type,phonemes,syllables,words,raw_filename
215011,215176,FEM,10.79,5.28,3.23,20220624_140959_025480_2.txt
487991,488355,FEM,8.81,4.12,2.6,20220624_140959_025480_2.txt
498845,498980,MAL,11.65,5.79,3.51,20220624_140959_025480_2.txt
524462,525898,MAL,12.64,5.51,4.01,20220624_140959_025480_2.txt
524492,528375,FEM,29.59,13.31,9.75,20220624_140959_025480_2.txt
527106,527437,MAL,11.18,5.45,3.39,20220624_140959_025480_2.txt
532992,533512,FEM,13.91,6.89,4.33,20220624_140959_025480_2.txt
536326,537892,FEM,15.75,7.16,5.01,20220624_140959_025480_2.txt
551666,553011,FEM,13.04,6.02,4.07,20220624_140959_025480_2.txt
569634,570695,FEM,11.25,5.16,3.48,20220624_140959_025480_2.txt
572235,573475,FEM,12.75,5.82,3.91,20220624_140959_025480_2.txt
572381,572783,MAL,6.6,2.93,1.88,20220624_140959_025480_2.txt
572910,573214,MAL,7.07,3.13,2.01,20220624_140959_025480_2.txt
575993,577493,FEM,11.75,5.19,3.78,20220624_140959_025480_2.txt
579493,581493,FEM,17.93,8.59,5.81,20220624_140959_025480_2.txt
593023,596243,FEM,25.81,12.3,8.64,20220624_140959_025480_2.txt
593249,593830,MAL,9.78,4.59,2.91,20220624_140959_025480_2.txt
705279,705487,MAL,8.93,4.28,2.62,20220624_140959_025480_2.txt
710122,711482,MAL,12.52,5.58,4.01,20220624_140959_025480_2.txt
721011,722788,FEM,13.56,5.75,4.32,20220624_140959_025480_2.txt
725642,725922,MAL,10.58,5.1,3.18,20220624_140959_025480_2.txt
731492,735744,FEM,29.97,14.12,10.2,20220624_140959_025480_2.txt
737011,739993,FEM,21.64,9.93,7.27,20220624_140959_025480_2.txt
742387,744544,FEM,23.57,11.4,7.51,20220624_140959_025480_2.txt
742475,743925,MAL,17.23,8.22,5.38,20220624_140959_025480_2.txt
749512,751341,FEM,17.39,8.23,5.66,20220624_140959_025480_2.txt
756474,757492,FEM,12.25,5.68,3.81,20220624_140959_025480_2.txt
759513,760812,MAL,13.81,6.38,4.37,20220624_140959_025480_2.txt
760214,763559,FEM,23.73,10.93,8.02,20220624_140959_025480_2.txt
786012,786135,FEM,9.58,4.63,2.82,20220624_140959_025480_2.txt
786522,786733,FEM,6.4,2.75,1.77,20220624_140959_025480_2.txt
787264,788018,FEM,8.61,3.7,2.6,20220624_140959_025480_2.txt
808812,809492,FEM,10.24,4.72,3.08,20220624_140959_025480_2.txt
808934,810512,MAL,17.37,8.4,5.56,20220624_140959_025480_2.txt
811011,813993,FEM,29.58,14.59,9.7,20220624_140959_025480_2.txt
833728,834180,MAL,4.4,1.54,1.15,20220624_140959_025480_2.txt
847155,847265,FEM,8.58,4.08,2.48,20220624_140959_025480_2.txt
848591,851964,FEM,26.1,12.27,8.61,20220624_140959_025480_2.txt
859229,859511,FEM,9.14,4.35,2.7,20220624_140959_025480_2.txt
878011,880210,FEM,19.75,9.21,6.29,20220624_140959_025480_2.txt
881057,881197,FEM,5.47,2.29,1.45,20220624_140959_025480_2.txt
882782,884326,FEM,10.2,4.11,3.21,20220624_140959_025480_2.txt
891891,893017,MAL,11.17,4.88,3.46,20220624_140959_025480_2.txt
896012,897769,MAL,15.97,7.09,4.96,20220624_140959_025480_2.txt
897468,906542,FEM,67.79,32.12,22.93,20220624_140959_025480_2.txt
901010,902900,MAL,15.3,6.76,4.92,20220624_140959_025480_2.txt
903670,903952,MAL,6.48,2.9,1.82,20220624_140959_025480_2.txt
908511,910315,FEM,14.58,6.62,4.72,20220624_140959_025480_2.txt
909996,910197,MAL,8.5,4.01,2.47,20220624_140959_025480_2.txt
911420,912063,MAL,5.88,2.37,1.68,20220624_140959_025480_2.txt
912907,916375,MAL,26.42,12.77,8.94,20220624_140959_025480_2.txt
921512,922584,FEM,12.69,5.91,3.96,20220624_140959_025480_2.txt
923533,924404,FEM,10.1,4.66,3.07,20220624_140959_025480_2.txt
929421,930093,FEM,7.56,3.35,2.24,20220624_140959_025480_2.txt
936142,938921,FEM,21.13,9.78,6.96,20220624_140959_025480_2.txt
944511,946529,FEM,17.65,8.17,5.72,20220624_140959_025480_2.txt
949453,950010,FEM,10.26,4.84,3.07,20220624_140959_025480_2.txt
949489,950837,MAL,15.3,7.29,4.88,20220624_140959_025480_2.txt
953718,958011,FEM,26.22,11.65,8.96,20220624_140959_025480_2.txt
970491,973329,FEM,18.97,8.06,6.14,20220624_140959_025480_2.txt
979884,980275,FEM,12.66,6.31,3.89,20220624_140959_025480_2.txt
999083,1000988,FEM,18.66,8.72,6.04,20220624_140959_025480_2.txt
1019716,1020681,FEM,12.83,5.98,3.99,20220624_140959_025480_2.txt
1028492,1030166,FEM,15.78,7.51,5.09,20220624_140959_025480_2.txt
1028558,1029807,MAL,14.07,6.65,4.4,20220624_140959_025480_2.txt
1032998,1034993,FEM,17.55,8.16,5.74,20220624_140959_025480_2.txt
1034011,1034126,MAL,9.73,4.68,2.87,20220624_140959_025480_2.txt
1034476,1036010,MAL,16.89,7.94,5.39,20220624_140959_025480_2.txt
1035113,1035405,FEM,11.57,5.67,3.51,20220624_140959_025480_2.txt
1036493,1037678,FEM,14.46,6.89,4.57,20220624_140959_025480_2.txt
1062701,1064010,FEM,16.11,7.56,5.09,20220624_140959_025480_2.txt
1065491,1066468,FEM,12.0,5.49,3.77,20220624_140959_025480_2.txt
1071510,1073203,FEM,14.97,6.85,4.83,20220624_140959_025480_2.txt
1084433,1087497,FEM,21.1,9.29,7.05,20220624_140959_025480_2.txt
1105503,1105775,FEM,8.26,3.83,2.41,20220624_140959_025480_2.txt
1106906,1108492,FEM,11.24,4.84,3.51,20220624_140959_025480_2.txt
1108144,1110235,MAL,16.5,7.65,5.35,20220624_140959_025480_2.txt
1110225,1110458,FEM,6.03,2.61,1.65,20220624_140959_025480_2.txt
1110355,1110512,MAL,7.4,3.41,2.1,20220624_140959_025480_2.txt
1112093,1115382,MAL,20.6,8.64,6.87,20220624_140959_025480_2.txt
1117954,1118450,MAL,9.29,4.17,2.79,20220624_140959_025480_2.txt
1122992,1123653,MAL,10.5,4.95,3.22,20220624_140959_025480_2.txt
1125510,1129899,FEM,29.48,13.54,10.01,20220624_140959_025480_2.txt
1132405,1134440,MAL,15.77,7.04,5.15,20220624_140959_025480_2.txt
1135492,1137492,MAL,15.02,6.64,4.89,20220624_140959_025480_2.txt
1138992,1140114,FEM,12.03,5.6,3.75,20220624_140959_025480_2.txt
1142319,1144990,MAL,17.08,7.13,5.64,20220624_140959_025480_2.txt
1145011,1146012,FEM,10.55,4.71,3.29,20220624_140959_025480_2.txt
1146639,1149663,MAL,23.48,10.8,7.67,20220624_140959_025480_2.txt
1150991,1151992,FEM,4.88,1.55,1.4,20220624_140959_025480_2.txt
1160511,1162555,MAL,13.28,5.64,4.32,20220624_140959_025480_2.txt
1163012,1167489,MAL,28.7,12.98,9.82,20220624_140959_025480_2.txt
1175011,1175484,FEM,7.6,3.45,2.22,20220624_140959_025480_2.txt
1177286,1179382,FEM,15.65,7.11,5.07,20220624_140959_025480_2.txt
1180388,1180493,FEM,7.39,3.42,2.09,20220624_140959_025480_2.txt
1181959,1182808,FEM,10.5,4.84,3.25,20220624_140959_025480_2.txt
1190511,1193014,MAL,19.65,8.73,6.31,20220624_140959_025480_2.txt
1199510,1201422,FEM,16.07,7.38,5.13,20220624_140959_025480_2.txt
1201804,1202255,FEM,6.6,2.84,1.88,20220624_140959_025480_2.txt
1204831,1206011,FEM,10.91,4.87,3.39,20220624_140959_025480_2.txt
1210766,1211510,FEM,8.18,3.53,2.46,20220624_140959_025480_2.txt
1215010,1216595,FEM,14.17,6.48,4.54,20220624_140959_025480_2.txt
1217012,1218693,FEM,17.79,8.46,5.71,20220624_140959_025480_2.txt
1229511,1231511,FEM,18.63,8.81,6.1,20220624_140959_025480_2.txt
1233510,1235992,FEM,20.1,9.22,6.62,20220624_140959_025480_2.txt
1239011,1239951,MAL,12.62,6.03,3.97,20220624_140959_025480_2.txt
1241769,1243492,MAL,18.43,8.82,5.93,20220624_140959_025480_2.txt
1241992,1242412,FEM,10.97,5.31,3.33,20220624_140959_025480_2.txt
1249992,1250318,FEM,5.94,2.54,1.64,20220624_140959_025480_2.txt
1281317,1282092,FEM,12.59,5.97,3.88,20220624_140959_025480_2.txt
1312360,1312767,MAL,8.79,4.0,2.55,20220624_140959_025480_2.txt
1312462,1313012,FEM,9.22,4.2,2.72,20220624_140959_025480_2.txt
1312905,1313011,MAL,11.5,5.7,3.45,20220624_140959_025480_2.txt
1332992,1334663,MAL,12.14,5.34,3.88,20220624_140959_025480_2.txt
1346510,1346675,FEM,14.02,7.05,4.31,20220624_140959_025480_2.txt
1346971,1348011,FEM,13.03,6.14,4.07,20220624_140959_025480_2.txt
1398492,1400409,FEM,14.34,6.26,4.65,20220624_140959_025480_2.txt
1432009,1433899,FEM,18.6,8.8,6.02,20220624_140959_025480_2.txt
1461704,1461824,MAL,11.28,5.59,3.39,20220624_140959_025480_2.txt
1462313,1463157,MAL,11.93,5.69,3.72,20220624_140959_025480_2.txt
1467492,1467917,MAL,5.9,2.46,1.64,20220624_140959_025480_2.txt
1468162,1469620,FEM,12.78,5.78,4.01,20220624_140959_025480_2.txt
1481249,1483301,MAL,20.43,9.76,6.44,20220624_140959_025480_2.txt
1485989,1487773,MAL,13.17,5.77,4.24,20220624_140959_025480_2.txt
1493196,1495010,MAL,11.62,4.86,3.73,20220624_140959_025480_2.txt
1517722,1518991,FEM,6.91,2.69,2.12,20220624_140959_025480_2.txt
1518510,1519514,MAL,6.46,2.64,1.93,20220624_140959_025480_2.txt
1523328,1524222,MAL,6.42,2.56,1.9,20220624_140959_025480_2.txt
1525422,1525992,FEM,6.46,2.63,1.8,20220624_140959_025480_2.txt
1525993,1526697,MAL,6.99,2.97,2.0,20220624_140959_025480_2.txt
1541012,1543496,MAL,23.34,11.31,7.59,20220624_140959_025480_2.txt
1547864,1550572,MAL,21.35,10.28,7.12,20220624_140959_025480_2.txt
1551923,1552789,MAL,8.11,3.63,2.46,20220624_140959_025480_2.txt
1552011,1553142,FEM,10.54,4.95,3.31,20220624_140959_025480_2.txt
1565890,1567464,FEM,12.59,5.65,4.01,20220624_140959_025480_2.txt
1568492,1571492,MAL,22.74,10.83,7.58,20220624_140959_025480_2.txt
1573957,1575491,MAL,12.35,5.54,3.88,20220624_140959_025480_2.txt
1578511,1583825,MAL,35.37,16.38,12.13,20220624_140959_025480_2.txt
1580528,1581524,FEM,10.69,4.78,3.28,20220624_140959_025480_2.txt
1583992,1586992,MAL,21.75,9.87,7.2,20220624_140959_025480_2.txt
1588493,1592492,MAL,27.1,12.49,9.2,20220624_140959_025480_2.txt
1602018,1602811,FEM,9.45,4.23,2.89,20220624_140959_025480_2.txt
1615697,1616492,FEM,10.12,4.63,3.06,20220624_140959_025480_2.txt
1616215,1616990,MAL,9.07,4.2,2.76,20220624_140959_025480_2.txt
1627530,1629012,MAL,15.66,7.36,4.97,20220624_140959_025480_2.txt
1651992,1654511,MAL,14.53,6.13,4.82,20220624_140959_025480_2.txt
1656099,1657859,MAL,16.28,7.66,5.27,20220624_140959_025480_2.txt
1659661,1660569,MAL,10.99,5.03,3.37,20220624_140959_025480_2.txt
1659847,1662701,FEM,21.1,9.61,7.01,20220624_140959_025480_2.txt
1663237,1667010,MAL,25.68,11.76,8.69,20220624_140959_025480_2.txt
1671842,1673293,MAL,10.65,4.6,3.35,20220624_140959_025480_2.txt
1673612,1673988,MAL,9.65,4.52,2.88,20220624_140959_025480_2.txt
1674493,1674628,MAL,6.64,2.97,1.84,20220624_140959_025480_2.txt
1674859,1675672,MAL,13.4,6.47,4.16,20220624_140959_025480_2.txt
