segment_onset,segment_offset,speaker_id,speaker_type,vcm_type,lex_type,mwu_type,addressee,transcription,words
28621752,28624124,FA1,FEM,NA,NA,NA,NA,xxx,4
28661448,28662608,OCHI,OCH,NA,NA,NA,NA,xxx,1
28664412,28665041,FA1,FEM,NA,NA,NA,NA,xxx,1
28666025,28667355,OCHI,OCH,NA,NA,NA,NA,xxx,4
28667969,28668381,FA1,FEM,NA,NA,NA,NA,xxx,1
28668633,28669850,FA1,FEM,NA,NA,NA,NA,xxx,4
28669850,28670680,OCHI,OCH,NA,NA,NA,NA,xxx,2
28685396,28686148,CHI,CHI,N,NA,NA,NA,xxx,0
28687816,28688305,CHI,CHI,C,0,NA,NA,xxx,0
28689691,28692417,FA1,FEM,NA,NA,NA,NA,xxx,9
28693479,28695113,FA1,FEM,NA,NA,NA,NA,xxx,3
28696747,28698566,FA1,FEM,NA,NA,NA,NA,xxx,8
28700375,28701901,OCHI,OCH,NA,NA,NA,NA,xxx,3
28701973,28703360,FA1,FEM,NA,NA,NA,NA,xxx,6
28704335,28706314,FA1,FEM,NA,NA,NA,NA,xxx,8
28708747,28709417,FA1,FEM,NA,NA,NA,NA,xxx,1
