segment_onset,segment_offset,speaker_id,speaker_type,vcm_type,lex_type,mwu_type,addressee,transcription,words
41916052,41918655,MA1,MAL,NA,NA,NA,NA,xxx,3
41921870,41923386,OCHI,OCH,NA,NA,NA,NA,xxx,3
41923407,41925850,FA1,FEM,NA,NA,NA,NA,xxx,3
41925871,41930211,FA1,FEM,NA,NA,NA,NA,xxx,3
41930241,41930937,OCHI,OCH,NA,NA,NA,NA,xxx,2
41930917,41932608,FA1,FEM,NA,NA,NA,NA,xxx,2
41933237,41935232,FA1,FEM,NA,NA,NA,NA,xxx,3
41935917,41936571,FA1,FEM,NA,NA,NA,NA,xxx,1
41937155,41939397,FA1,FEM,NA,NA,NA,NA,xxx,2
41939603,41940510,FA1,FEM,NA,NA,NA,NA,xxx,2
41940855,41942917,FA1,FEM,NA,NA,NA,NA,xxx,2
