segment_onset,segment_offset,speaker_type,lena_speaker,words,lena_block_number,lena_block_type,lena_conv_status,lena_response_count,lena_conv_turn_type,lena_conv_floor_type,utterances_count,utterances_length,average_db,peak_db,utterances,non_speech_length,child_cry_vfx_len,cries,vfxs
0,1020,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-52.08,-34.94,[],0,0,[],[]
1020,2820,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-21.76,-5.47,[],0,0,[],[]
2820,3550,NA,CHF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-37.52,-23.37,[],0,210,"[{'start': 3.34, 'end': 3.55}]",[]
3550,6180,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-20.27,-6.17,[],0,0,[],[]
6180,6780,CHI,CHN,0.0,1,pause,NA,NA,NA,NA,0.0,0,-29.24,-17.99,[],0,420,[],"[{'start': 6.36, 'end': 6.78}]"
6780,12230,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-19.37,-3.17,[],0,0,[],[]
12230,13030,NA,OLF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-32.62,-19.56,[],0,0,[],[]
13030,19230,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-21.5,-1.78,[],0,0,[],[]
19230,20030,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-46.02,-35.1,[],0,0,[],[]
20030,20830,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-45.63,-37.93,[],0,0,[],[]
20830,21630,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-54.27,-48.15,[],0,0,[],[]
21630,23620,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-19.85,-2.44,[],0,0,[],[]
23620,24500,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-45.84,-37.11,[],0,0,[],[]
24500,27720,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-41.42,-23.42,[],0,0,[],[]
27720,28530,NA,OLF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-33.12,-20.42,[],0,0,[],[]
28530,29350,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-30.84,-13.17,[],0,0,[],[]
29350,30470,NA,OLF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-34.61,-23.49,[],0,0,[],[]
30470,33200,NA,NON,0.0,1,pause,NA,NA,NA,NA,0.0,0,-24.26,-5.91,[],0,0,[],[]
33200,34000,NA,OLN,0.0,1,pause,NA,NA,NA,NA,0.0,0,-26.34,-17.56,[],0,0,[],[]
34000,34910,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-30.61,-11.81,[],0,0,[],[]
34910,35520,CHI,CHN,0.0,1,CM,EC,0,NT,FI,1.0,610,-28.05,-23.77,"[{'Canonical-syllable': '0', 'Growl': '0', 'High-freq-energy': '0', 'Long-island': '0', 'Low-tilt-spectrum': '1', 'Medium-island': '1', 'Short-island': '0', 'Squeal': '0', 'Typical-entropy': '1', 'Voicing-quality': '1', 'Wide-band': '0', 'Xlong-island': '0', 'seq': '1', 'end': 35.52, 'start': 34.91}]",0,0,[],[]
35520,37200,NA,NON,0.0,2,pause,NA,NA,NA,NA,0.0,0,-37.61,-28.9,[],0,0,[],[]
37200,38330,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-30.06,-18.88,[],0,0,[],[]
38330,39250,NA,NON,0.0,2,pause,NA,NA,NA,NA,0.0,0,-36.79,-28.08,[],0,0,[],[]
39250,40050,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-30.3,-22.94,[],0,0,[],[]
40050,42630,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-36.6,-27.16,[],0,0,[],[]
42630,43740,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-14.78,-2.06,[],0,0,[],[]
43740,46900,NA,NON,0.0,2,pause,NA,NA,NA,NA,0.0,0,-32.94,-17.9,[],0,0,[],[]
46900,48170,CHI,CHN,0.0,2,CM,EC,0,NT,FI,1.0,1270,-18.14,-12.8,"[{'Canonical-syllable': '0', 'Growl': '0', 'High-freq-energy': '0', 'Long-island': '0', 'Low-tilt-spectrum': '0', 'Medium-island': '0', 'Short-island': '0', 'Squeal': '0', 'Typical-entropy': '0', 'Voicing-quality': '1', 'Wide-band': '0', 'Xlong-island': '1', 'seq': '1', 'end': 48.17, 'start': 46.9}]",0,0,[],[]
48170,49060,NA,OLN,0.0,3,pause,NA,NA,NA,NA,0.0,0,-25.0,-10.59,[],0,0,[],[]
49060,49870,NA,NOF,0.0,3,pause,NA,NA,NA,NA,0.0,0,-37.18,-29.51,[],0,0,[],[]
49870,50890,NA,OLN,0.0,3,pause,NA,NA,NA,NA,0.0,0,-26.03,-21.73,[],0,0,[],[]
50890,53110,NA,NON,0.0,3,pause,NA,NA,NA,NA,0.0,0,-28.58,-18.18,[],0,0,[],[]
53110,53910,NA,SIL,0.0,3,pause,NA,NA,NA,NA,0.0,0,-53.1,-49.26,[],0,0,[],[]
