segment_onset,segment_offset,speaker_type,lena_speaker,words,lena_block_number,lena_block_type,lena_conv_status,lena_response_count,lena_conv_turn_type,lena_conv_floor_type,utterances_count,utterances_length,average_db,peak_db,utterances,non_speech_length,child_cry_vfx_len,cries,vfxs
0,1020,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-41.02,-35.7,[],0,0,[],[]
1020,4290,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-33.73,-14.98,[],0,0,[],[]
4290,5090,NA,SIL,0.0,1,pause,NA,NA,NA,NA,0.0,0,-35.43,-24.91,[],0,0,[],[]
5090,7810,NA,NON,0.0,1,pause,NA,NA,NA,NA,0.0,0,-18.88,-2.58,[],0,0,[],[]
7810,8630,NA,OLN,0.0,1,pause,NA,NA,NA,NA,0.0,0,-19.26,-6.25,[],0,0,[],[]
8630,9430,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-39.97,-31.47,[],0,0,[],[]
9430,10940,NA,OLF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-34.99,-22.61,[],0,0,[],[]
10940,12190,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-16.96,-3.51,[],0,0,[],[]
12190,12990,NA,OLF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-32.94,-23.63,[],0,0,[],[]
12990,14190,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-16.62,-3.7,[],0,0,[],[]
14190,15010,NA,OLN,0.0,1,pause,NA,NA,NA,NA,0.0,0,-34.74,-27.78,[],0,0,[],[]
15010,19150,NA,NOF,0.0,1,pause,NA,NA,NA,NA,0.0,0,-32.06,-16.5,[],0,0,[],[]
19150,20150,FEM,FAN,0.15,1,AMF,EC,0,NT,FI,0.0,0,-39.02,-31.09,[],0,0,[],[]
20150,22060,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-43.87,-26.73,[],0,0,[],[]
22060,22860,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-48.95,-43.97,[],0,0,[],[]
22860,24020,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-43.03,-31.78,[],0,0,[],[]
24020,24840,NA,SIL,0.0,2,pause,NA,NA,NA,NA,0.0,0,-48.69,-44.21,[],0,0,[],[]
24840,26130,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-33.96,-20.24,[],0,0,[],[]
26130,26940,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-28.18,-17.43,[],0,0,[],[]
26940,29680,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-40.06,-31.93,[],0,0,[],[]
29680,30710,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-35.58,-27.04,[],0,0,[],[]
30710,33690,NA,NON,0.0,2,pause,NA,NA,NA,NA,0.0,0,-24.25,-10.54,[],0,0,[],[]
33690,34510,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-25.61,-18.02,[],0,0,[],[]
34510,37610,NA,NOF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-27.64,-8.47,[],0,0,[],[]
37610,38410,NA,OLN,0.0,2,pause,NA,NA,NA,NA,0.0,0,-26.82,-12.94,[],0,0,[],[]
38410,39410,NA,FAF,0.0,2,pause,NA,NA,NA,NA,0.0,0,-34.09,-26.53,[],0,0,[],[]
