segment_onset,segment_offset,speaker_type,vcm_type
4988,5216,MAL,NA
11492,15010,MAL,NA
11991,25564,NA,NA
14511,17410,FEM,NA
17493,20512,MAL,NA
20512,21069,OCH,NA
20906,21009,MAL,NA
21124,23487,MAL,NA
23713,25726,MAL,NA
26278,31472,MAL,NA
26744,28094,NA,NA
32230,32493,MAL,NA
36553,41492,MAL,NA
37179,41077,NA,NA
47078,51022,MAL,NA
47827,50621,NA,NA
55087,57492,MAL,NA
55468,57667,NA,NA
57279,57409,FEM,NA
59029,61493,MAL,NA
59511,61273,NA,NA
66511,70068,MAL,NA
67139,67306,NA,NA
67557,67687,NA,NA
68918,69703,NA,NA
73511,77278,NA,NA
73577,74512,CHI,N
75571,76442,FEM,NA
75794,76913,OCH,NA
79907,80935,MAL,NA
80011,81685,NA,NA
80511,81623,FEM,NA
84959,88113,MAL,NA
85399,92429,NA,NA
88469,91485,MAL,NA
90988,91277,FEM,NA
93012,111993,NA,NA
93511,94721,FEM,NA
94387,97939,MAL,NA
94856,95166,FEM,NA
96110,96231,FEM,NA
96512,96669,FEM,NA
96854,96992,FEM,NA
97112,97644,FEM,NA
98472,102011,FEM,NA
101085,106124,MAL,NA
105330,107470,FEM,NA
106336,112489,MAL,NA
114063,125992,MAL,NA
116492,125512,NA,NA
127992,129791,MAL,NA
128122,128245,NA,NA
128675,128800,NA,NA
131600,131848,MAL,NA
132062,134041,MAL,NA
132639,133788,NA,NA
136814,140670,NA,NA
136907,140493,FEM,NA
137393,138152,MAL,NA
141654,144217,NA,NA
141953,144051,FEM,NA
143068,143326,MAL,NA
146590,148510,MAL,NA
147140,147452,NA,NA
147650,147971,NA,NA
150596,151946,MAL,NA
151214,151538,NA,NA
155010,157494,MAL,NA
155333,157012,NA,NA
159692,160512,NA,NA
159992,160512,FEM,NA
162992,168770,NA,NA
162992,169491,MAL,NA
170983,175492,NA,NA
170993,173497,FEM,NA
171838,171956,MAL,NA
172511,175032,MAL,NA
175157,175383,MAL,NA
178011,180718,MAL,NA
178674,180011,NA,NA
182699,188011,MAL,NA
183026,183158,NA,NA
183992,187991,NA,NA
190755,193063,MAL,NA
190991,193011,NA,NA
195703,196459,MAL,NA
201511,203531,MAL,NA
202038,202745,NA,NA
203003,203207,NA,NA
204869,212014,MAL,NA
204886,205613,NA,NA
208406,211970,NA,NA
212166,212311,MAL,NA
219512,226768,MAL,NA
219993,220533,NA,NA
221992,226010,NA,NA
227991,229992,NA,NA
228002,229492,FEM,NA
229589,229954,MAL,NA
231287,232566,NA,NA
231410,235249,MAL,NA
231491,231992,FEM,NA
233130,234278,NA,NA
234510,242991,NA,NA
235553,240511,FEM,NA
240011,243324,MAL,NA
244510,247860,MAL,NA
245492,246786,NA,NA
248127,252636,MAL,NA
248668,252213,NA,NA
254492,256947,NA,NA
255368,256993,MAL,NA
272492,275511,MAL,NA
273367,275016,NA,NA
298428,301012,NA,NA
298492,299052,OCH,NA
299012,301429,MAL,NA
302456,307011,MAL,NA
302729,311114,NA,NA
306043,310594,FEM,NA
308085,308382,MAL,NA
309287,310016,OCH,NA
311173,313490,MAL,NA
311303,313294,NA,NA
314493,317011,MAL,NA
314731,318870,NA,NA
317463,318713,OCH,NA
320011,321866,OCH,NA
320078,322511,NA,NA
321894,325569,MAL,NA
322765,325011,NA,NA
328011,330956,NA,NA
328492,331644,MAL,NA
328512,329010,FEM,NA
388795,389838,NA,NA
388851,389484,OCH,NA
393115,396659,NA,NA
393142,394511,OCH,NA
393338,394011,CHI,N
394899,397012,MAL,NA
405111,405241,MAL,NA
405457,406326,MAL,NA
405586,405723,NA,NA
405992,406394,NA,NA
407012,408733,NA,NA
407163,408484,FEM,NA
408993,410316,NA,NA
409018,410459,MAL,NA
411510,413572,MAL,NA
411791,412723,NA,NA
416510,418010,OCH,NA
416618,416746,NA,NA
416991,424006,NA,NA
418379,422540,FEM,NA
421845,421985,MAL,NA
423377,423488,MAL,NA
429437,431492,OCH,NA
429511,429680,NA,NA
429980,431652,NA,NA
455512,463820,MAL,NA
455905,456551,NA,NA
457989,458986,NA,NA
459638,459741,NA,NA
460011,460237,NA,NA
460350,460475,NA,NA
460753,463713,NA,NA
507205,507416,MAL,NA
509011,511676,OCH,NA
509492,511512,NA,NA
514898,515632,NA,NA
514991,515492,FEM,NA
516512,518677,MAL,NA
516851,518672,NA,NA
520304,521512,NA,NA
520317,520844,MAL,NA
520545,521011,FEM,NA
521164,521429,MAL,NA
533589,536745,NA,NA
533766,534492,FEM,NA
534082,534198,CHI,N
534492,534688,CHI,N
535798,535990,MAL,NA
542511,544555,MAL,NA
542789,544110,NA,NA
550155,553025,MAL,NA
550734,550849,NA,NA
551694,552077,NA,NA
552464,552577,NA,NA
556011,559492,MAL,NA
556507,557778,NA,NA
562012,563924,MAL,NA
566492,568449,MAL,NA
566992,567984,NA,NA
582812,583276,MAL,NA
589012,593533,MAL,NA
589834,590371,NA,NA
592491,593392,NA,NA
619901,620056,MAL,NA
635536,636373,NA,NA
636992,640991,MAL,NA
637011,640810,NA,NA
641993,642359,MAL,NA
642492,642921,MAL,NA
652634,664511,NA,NA
653174,654730,MAL,NA
654708,656166,FEM,NA
656011,664511,MAL,NA
671012,672897,MAL,NA
671434,677519,NA,NA
672511,674511,FEM,NA
674492,678491,MAL,NA
677886,678512,NA,NA
678993,681555,MAL,NA
679492,681492,NA,NA
691011,692012,NA,NA
691023,692012,MAL,NA
695874,696011,MAL,NA
697020,698903,MAL,NA
697992,698319,NA,NA
701131,715105,NA,NA
701315,702218,CHI,N
702341,704057,FEM,NA
702992,703524,CHI,N
704285,704908,CHI,N
705923,707816,OCH,NA
707938,715857,MAL,NA
719592,720179,NA,NA
721011,725491,MAL,NA
721011,730993,NA,NA
726003,731491,MAL,NA
736992,737134,NA,NA
736992,737492,MAL,NA
737848,742396,NA,NA
737873,738696,MAL,NA
738992,740011,FEM,NA
739511,742962,MAL,NA
745004,747510,MAL,NA
745664,746568,NA,NA
748992,751052,MAL,NA
749787,750491,NA,NA
751280,753231,MAL,NA
