segment_onset,segment_offset,speaker_type,vcm_type
1510,9492,NA,NA
1669,2493,FEM,NA
2032,2133,CHI,N
2270,4992,CHI,N
2585,2855,OCH,NA
3216,3532,OCH,NA
4310,4411,OCH,NA
5110,8492,FEM,NA
7968,9266,CHI,N
17336,17763,NA,NA
20993,21492,OCH,NA
23993,24621,OCH,NA
24011,32010,NA,NA
25010,29991,FEM,NA
31067,31224,FEM,NA
31347,31511,FEM,NA
33492,35492,NA,NA
33497,35203,FEM,NA
37010,39992,NA,NA
37098,37267,FEM,NA
37371,39705,FEM,NA
41011,41266,NA,NA
44493,46493,FEM,NA
44493,46506,NA,NA
49400,61165,NA,NA
50347,51643,OCH,NA
50579,51576,CHI,N
51816,53024,FEM,NA
53615,56749,CHI,N
53801,54992,OCH,NA
57161,61041,FEM,NA
62492,63319,CHI,N
62492,69191,NA,NA
63040,65011,FEM,NA
65294,66011,FEM,NA
65991,66489,MAL,NA
67512,67633,OCH,NA
70392,76724,NA,NA
70423,71992,FEM,NA
72919,73511,OCH,NA
73913,76701,FEM,NA
78045,79032,NA,NA
78077,78992,CHI,N
80511,81493,NA,NA
80536,81010,CHI,N
81010,81295,FEM,NA
82510,89010,NA,NA
82639,84180,CHI,N
82725,84225,OCH,NA
84491,85264,FEM,NA
84598,84775,OCH,NA
85661,87851,OCH,NA
85683,87963,CHI,N
87991,88928,FEM,NA
93410,98218,NA,NA
93493,94480,CHI,N
93817,94269,FEM,NA
94962,95811,CHI,N
95082,95808,FEM,NA
95992,98059,FEM,NA
99350,104389,NA,NA
99401,100380,CHI,N
100209,102992,FEM,NA
103341,104306,CHI,C
105877,107510,NA,NA
105896,106487,FEM,NA
106814,107511,CHI,N
109991,111738,NA,NA
110091,111711,FEM,NA
115012,115280,NA,NA
115754,123763,NA,NA
115859,116586,CHI,N
116011,116332,OCH,NA
116843,117442,OCH,NA
118255,119376,FEM,NA
119867,123617,FEM,NA
120008,120511,CHI,N
124011,124325,NA,NA
124440,125992,NA,NA
124747,125511,FEM,NA
124813,125491,MAL,NA
127644,129114,NA,NA
127676,128732,CHI,N
129511,131016,NA,NA
129715,130967,FEM,NA
131242,137379,NA,NA
131465,131963,OCH,NA
131510,132268,CHI,N
132081,132251,OCH,NA
132423,133086,CHI,N
132565,132678,OCH,NA
133301,134238,CHI,N
133491,134033,OCH,NA
134420,135011,CHI,N
134622,135511,OCH,NA
136092,137233,FEM,NA
137840,139803,NA,NA
137850,139014,FEM,NA
138810,139595,CHI,N
140511,144855,NA,NA
140511,144861,FEM,NA
146354,149560,NA,NA
146391,147132,FEM,NA
146510,146901,CHI,C
147329,148510,FEM,NA
148414,149513,CHI,C
150552,153492,NA,NA
150721,151626,CHI,C
151511,153172,FEM,NA
153880,155233,NA,NA
154011,154892,FEM,NA
155010,155121,FEM,NA
155368,174292,NA,NA
155387,157201,FEM,NA
157356,158384,CHI,N
158107,159778,FEM,NA
159992,165267,CHI,C
165405,165553,OCH,NA
166011,166551,FEM,NA
167010,167322,OCH,NA
167449,170495,OCH,NA
169493,170487,CHI,N
170492,171493,FEM,NA
171788,174530,OCH,NA
171992,172355,CHI,N
172800,172901,CHI,N
175902,177554,NA,NA
175993,177151,CHI,N
178318,182073,NA,NA
178362,182019,CHI,C
191449,192607,CHI,N
191464,193238,NA,NA
192512,193011,FEM,NA
194317,195011,NA,NA
194383,195011,CHI,N
206012,217992,NA,NA
206040,207010,CHI,N
207146,209608,FEM,NA
209913,217934,CHI,N
219993,231512,NA,NA
219993,224035,CHI,N
225011,231511,CHI,C
242217,243662,NA,NA
242232,243653,CHI,C
248699,250063,CHI,N
248719,250049,NA,NA
256011,257992,NA,NA
256478,257992,FEM,NA
260511,260626,NA,NA
261011,263011,FEM,NA
261011,263011,NA,NA
311842,313499,NA,NA
312010,312510,FEM,NA
317204,318510,NA,NA
317228,318504,CHI,C
326012,327850,NA,NA
326109,327852,FEM,NA
332492,334244,FEM,NA
332492,336134,NA,NA
334591,336042,CHI,C
337011,338712,NA,NA
337012,338630,CHI,N
339857,341204,NA,NA
339864,341172,CHI,N
346224,347979,CHI,C
346310,347992,NA,NA
349491,350836,NA,NA
349491,350838,CHI,N
391134,392096,NA,NA
391174,391743,FEM,NA
391492,391919,CHI,N
392821,393577,NA,NA
392870,393511,CHI,N
399732,400682,CHI,C
399808,400653,NA,NA
408491,408594,NA,NA
408814,408949,NA,NA
409992,411204,NA,NA
410257,411011,FEM,NA
410493,410984,OCH,NA
413011,417775,NA,NA
413164,414492,CHI,C
414477,417582,FEM,NA
418865,421968,NA,NA
418922,420233,CHI,C
