segment_onset,segment_offset,speaker_type
20351,27523,NA
20356,21218,FEM
21087,22690,CHI
21664,22992,OCH
25491,27010,OCH
25675,25803,CHI
25989,26492,CHI
27010,27332,FEM
31511,33035,FEM
31511,33084,NA
47993,48705,NA
50045,52512,NA
50492,51511,CHI
51992,52486,MAL
53728,56674,NA
54515,55129,CHI
56035,56492,FEM
56953,61253,NA
57110,59010,CHI
59979,61196,FEM
62065,63511,NA
62124,63511,FEM
69491,72510,NA
69847,70991,OCH
69992,70954,CHI
70991,72348,FEM
75728,75860,OCH
77129,80151,NA
77639,77852,OCH
80609,83623,NA
80987,81265,OCH
81265,81511,FEM
82377,83511,CHI
85011,85836,NA
114492,115012,NA
114510,115023,OCH
123317,123491,NA
123348,123459,FEM
126058,127511,NA
126492,127511,FEM
136173,136315,FEM
136492,137992,FEM
136492,138004,NA
138647,138873,NA
147486,148011,OCH
148682,148793,NA
151991,152295,NA
152984,154793,NA
152992,154791,FEM
169639,170972,NA
169725,170392,FEM
171809,172773,NA
171992,172578,CHI
172235,172429,OCH
181492,183650,FEM
181492,183650,NA
185453,188280,NA
185492,186474,CHI
189228,189493,NA
190316,191517,NA
190345,191303,CHI
193011,194435,NA
195011,196115,NA
195134,196011,FEM
198511,205195,NA
198713,203011,OCH
198796,199512,CHI
199763,199993,CHI
202557,202748,FEM
203992,204491,FEM
205300,207575,NA
205511,207536,OCH
209010,211992,NA
209029,210146,CHI
209491,209734,OCH
210514,210620,FEM
210797,211531,FEM
213116,213357,NA
216570,219491,NA
216992,219206,FEM
220484,223012,NA
220492,222991,FEM
237453,239686,NA
237467,239374,FEM
239888,239993,NA
245492,246835,FEM
245492,247011,NA
256492,258463,OCH
256713,258276,NA
259511,271563,NA
259511,260903,MAL
260511,263511,FEM
262492,263521,MAL
263837,265992,OCH
265003,267158,CHI
267362,269313,MAL
269011,271011,CHI
270493,271357,FEM
271971,276244,NA
272096,274492,OCH
272349,273027,CHI
273512,276205,FEM
276946,281630,NA
276991,281556,CHI
277229,277772,OCH
278011,280512,OCH
282496,286112,CHI
282511,290403,NA
285636,288510,MAL
287785,288011,FEM
288667,290405,MAL
289192,289295,CHI
292580,292880,OCH
293504,314660,NA
293542,294013,OCH
294185,294313,OCH
294465,299992,MAL
299992,304152,FEM
303510,310992,MAL
311399,313972,FEM
314935,334019,NA
315011,318511,CHI
315593,315993,OCH
318426,322992,FEM
322881,327186,CHI
326992,328080,FEM
327331,327491,CHI
327594,330510,CHI
331349,333492,FEM
335011,339733,NA
335138,335511,CHI
336131,339315,CHI
336489,337010,FEM
342011,364418,NA
342080,343492,CHI
342645,343300,OCH
343697,343876,OCH
344012,344512,CHI
344878,346171,FEM
346589,353175,CHI
348877,348980,FEM
353514,357964,CHI
357860,360536,FEM
360705,363542,CHI
363734,364117,CHI
365853,369984,NA
365899,369871,CHI
368140,368491,MAL
370450,383889,NA
370509,373511,OCH
372492,373992,CHI
373734,375042,OCH
375005,378081,FEM
377612,377840,OCH
377992,378390,CHI
378265,379510,FEM
379011,382990,MAL
382511,383711,FEM
384315,391370,NA
384548,385888,OCH
384549,385992,CHI
384737,384926,FEM
385980,386139,FEM
385992,388030,MAL
388263,390146,MAL
388272,388383,FEM
388765,391126,FEM
392799,400032,NA
392992,395493,FEM
395839,398492,CHI
397511,398410,OCH
398491,399979,FEM
400614,403216,NA
400694,402015,CHI
401630,402391,OCH
402011,403138,FEM
403367,410993,NA
403491,407992,FEM
403868,404408,CHI
403896,404552,OCH
405010,405928,CHI
405361,405469,OCH
408491,409991,OCH
408491,410992,CHI
411510,480991,NA
411737,412493,CHI
412432,413931,FEM
412489,413189,MAL
413993,414621,CHI
414511,418488,MAL
414646,415512,FEM
417511,417928,FEM
418564,427044,CHI
420512,421125,OCH
421254,422992,OCH
424595,424771,OCH
424992,426614,OCH
426777,429178,MAL
428990,430011,FEM
429362,429489,MAL
429997,431251,CHI
430112,430512,OCH
430480,430730,FEM
430993,434667,FEM
431048,432449,MAL
433527,433809,CHI
434526,436011,CHI
435491,436492,OCH
436133,437983,MAL
437484,438010,OCH
437511,438341,CHI
438492,440993,FEM
440080,440600,OCH
441052,444874,MAL
444714,447677,CHI
445993,447122,FEM
447474,447997,FEM
447881,449511,CHI
449773,453278,FEM
450173,450360,CHI
452167,460807,CHI
459246,459492,FEM
460512,465730,MAL
465495,468122,FEM
465883,466011,MAL
467512,469996,MAL
469648,471585,CHI
471493,474993,OCH
472168,472419,FEM
473511,474967,CHI
474567,478992,MAL
478967,480776,FEM
480759,483992,MAL
482655,483033,NA
484010,493123,NA
484424,484724,MAL
484993,488253,FEM
485814,486492,OCH
487013,488140,OCH
488052,490882,MAL
490811,492959,FEM
493511,520663,NA
493865,493983,FEM
494205,494414,FEM
495013,495261,CHI
495406,496013,MAL
495781,498010,CHI
497912,498513,FEM
498550,501031,CHI
500992,502386,FEM
501689,506660,CHI
506554,510992,FEM
511466,520614,CHI
516424,516542,FEM
517131,519510,OCH
520175,520388,OCH
521038,524011,NA
521144,523512,OCH
521208,523992,CHI
525920,528256,OCH
525950,528512,NA
527553,528292,CHI
533512,538509,MAL
534207,537847,NA
538957,546822,NA
538993,543512,CHI
541007,541540,OCH
543468,546578,FEM
547361,550687,NA
547493,549012,CHI
547514,549036,OCH
549457,550662,FEM
550972,555594,NA
550997,551991,CHI
551048,552763,OCH
552496,555240,FEM
552715,552970,CHI
554318,555369,MAL
556511,564100,NA
556522,559492,FEM
559381,560935,CHI
560437,562511,FEM
561045,561190,CHI
561492,562466,CHI
562493,564511,MAL
562722,562997,FEM
567640,569186,MAL
567759,578991,NA
568510,570869,FEM
570491,573370,CHI
573337,578658,FEM
573725,573870,MAL
574493,575575,MAL
577501,578767,CHI
579162,589375,NA
579272,584628,CHI
580473,580598,OCH
581011,581511,FEM
584604,589039,FEM
587491,588655,MAL
591011,598492,NA
591200,594938,CHI
591271,592737,OCH
593976,595051,FEM
595412,597511,CHI
597603,598178,FEM
602449,609098,NA
602471,604677,CHI
604739,608710,MAL
608663,609011,CHI
613661,614613,NA
617429,624024,NA
617478,618713,CHI
618511,624011,FEM
625340,627259,CHI
625340,627341,NA
627731,632880,CHI
627750,632922,NA
634272,637011,NA
634331,637011,FEM
637376,637492,NA
638012,639980,NA
638017,639942,FEM
641451,651691,NA
641724,644510,CHI
643975,647240,OCH
647700,650910,FEM
647992,648417,CHI
650951,651494,CHI
651034,651378,OCH
652011,653570,MAL
652011,655492,NA
652597,655326,FEM
656142,657735,NA
656328,657437,CHI
656353,657511,OCH
658511,699593,NA
658992,661491,FEM
659986,660359,MAL
660501,661252,MAL
662060,663324,CHI
662104,663219,OCH
663513,668991,MAL
667474,668056,FEM
669011,672259,OCH
669290,670870,CHI
671259,672106,CHI
673233,674132,CHI
673397,673996,OCH
674992,675770,FEM
675699,676644,OCH
675722,676615,CHI
677197,677511,OCH
677511,679048,FEM
678534,678688,OCH
679391,680419,CHI
679492,680010,OCH
680079,682492,MAL
682511,684467,OCH
682633,682992,CHI
683726,685511,FEM
684280,684449,CHI
685010,689244,MAL
687511,689011,FEM
689413,690073,CHI
690262,691477,CHI
690395,690518,MAL
690827,690950,OCH
691376,695993,FEM
695512,695888,MAL
696587,699511,FEM
700610,709555,NA
700756,701492,CHI
701600,704006,FEM
702091,702373,MAL
703627,703755,MAL
704255,706928,OCH
704300,705151,CHI
705473,706887,CHI
707105,709289,FEM
709919,713991,NA
710056,711374,CHI
710397,710802,OCH
711688,711992,OCH
712493,713890,FEM
714781,722206,NA
714844,716493,CHI
717513,719143,CHI
719261,719610,FEM
719469,719592,MAL
720011,722012,FEM
722770,729550,NA
723097,725011,FEM
724869,727210,CHI
725510,725991,OCH
727010,728991,FEM
732512,744242,NA
733492,734511,OCH
733604,734632,CHI
734768,741660,FEM
740568,741511,MAL
742193,742492,FEM
742547,747510,MAL
744512,747011,NA
749562,749705,NA
749981,762492,NA
750063,750893,CHI
750286,750426,OCH
750524,756565,MAL
756513,758492,OCH
756829,759097,CHI
759152,763011,MAL
767492,768020,OCH
767561,768012,NA
773309,774011,NA
773319,773849,CHI
780707,790953,NA
780872,783511,OCH
782607,783515,CHI
784011,787394,OCH
784075,785420,CHI
786203,786642,FEM
787492,788019,FEM
787909,790511,OCH
787970,790690,CHI
796238,799431,NA
796470,799330,CHI
796492,798905,OCH
800130,802197,CHI
800133,802492,NA
802948,804857,MAL
803409,807010,NA
804782,806993,CHI
807825,814508,NA
807830,813458,CHI
810405,810511,OCH
812992,814504,FEM
817992,823220,NA
818076,822788,CHI
818232,818843,OCH
823568,851992,NA
823691,827618,FEM
825324,825511,MAL
827511,834352,CHI
834681,840083,CHI
838011,838630,OCH
838760,839992,OCH
840287,841060,MAL
841045,848011,CHI
847513,847832,OCH
847992,849992,OCH
848713,849975,CHI
850431,851857,FEM
850964,851148,OCH
852503,865709,NA
852621,853610,CHI
853944,854077,CHI
853986,857010,OCH
854207,854529,CHI
854710,854816,CHI
855239,855418,CHI
856197,859012,CHI
857993,859012,FEM
858992,861012,OCH
860011,861012,CHI
861312,862993,CHI
862679,864152,MAL
863096,863231,FEM
864123,864616,CHI
864353,865651,FEM
867402,870463,NA
867424,869198,FEM
869172,870402,CHI
871018,872169,NA
871057,872083,FEM
872512,876834,NA
872837,874295,CHI
873082,874105,OCH
874216,876822,FEM
875011,875767,CHI
878492,880110,FEM
878492,880205,NA
880377,880625,NA
880792,884407,NA
881396,883251,FEM
883023,884427,OCH
885176,886332,OCH
885419,886011,NA
889491,893821,NA
889549,889672,OCH
890301,891935,FEM
890495,890991,CHI
892323,893697,CHI
896493,898110,CHI
896513,898550,NA
900010,900992,NA
900065,900890,OCH
900344,900464,CHI
900985,903913,MAL
901368,906285,NA
903950,905906,OCH
903992,906091,CHI
906501,906768,NA
906925,914510,NA
906994,908887,CHI
907171,907495,OCH
909303,910012,CHI
909701,915479,MAL
916530,924385,NA
916625,917992,CHI
917774,918511,OCH
918574,919100,FEM
919011,919149,MAL
919289,922515,MAL
922011,923604,FEM
923668,924011,OCH
924149,926992,MAL
924910,927097,NA
926392,927042,FEM
928555,952065,NA
928766,930511,CHI
928982,930948,OCH
930634,934875,MAL
934769,938515,CHI
937511,940776,OCH
938618,940511,CHI
941011,942872,CHI
941126,942172,OCH
943491,944011,FEM
944749,944992,OCH
945010,946991,CHI
947351,947992,CHI
947511,951990,MAL
952511,963699,NA
952587,953491,CHI
953357,956624,MAL
953816,953993,FEM
956510,958950,OCH
956991,957195,FEM
957319,961011,CHI
961131,962493,FEM
962493,963492,CHI
964205,970074,NA
964366,966511,OCH
964373,966492,CHI
966450,969368,FEM
967992,968913,OCH
969379,970029,CHI
970692,973303,NA
970777,971493,FEM
972854,973227,FEM
974282,975578,NA
974325,975511,OCH
974368,975470,CHI
977054,977160,NA
977415,978741,NA
977493,978992,OCH
981381,982453,OCH
981491,984012,NA
982765,984567,MAL
984493,989478,NA
985011,985219,CHI
985114,985865,MAL
985217,985452,FEM
985998,988053,CHI
987512,989375,OCH
989786,990706,NA
989908,990254,FEM
989974,990786,OCH
991492,992768,OCH
991536,992545,NA
997010,999607,MAL
997623,1005492,NA
999547,1001469,CHI
1001013,1003227,MAL
1003138,1005453,CHI
1008987,1011493,NA
1008992,1010492,CHI
1009328,1011512,OCH
1011511,1016204,MAL
1011693,1022010,NA
1015511,1015754,FEM
1016992,1020104,CHI
1017286,1017588,OCH
1020450,1020992,CHI
1020511,1020958,OCH
1021103,1021363,OCH
1021484,1021599,OCH
1026478,1029514,MAL
1026638,1029100,NA
1030001,1034647,NA
1030334,1030726,CHI
1030492,1034993,MAL
1035636,1039011,NA
1035659,1036844,CHI
1036098,1039502,MAL
1038130,1038493,FEM
1042991,1051140,NA
1043133,1043511,CHI
1043511,1047492,MAL
1047492,1049402,CHI
1047539,1049869,OCH
1049593,1049709,MAL
1049856,1051041,MAL
1050492,1051010,FEM
1053344,1054510,OCH
1053486,1056495,NA
1054021,1056512,MAL
1058226,1059303,OCH
1058434,1059170,NA
1059893,1060840,NA
1059959,1060511,OCH
1063405,1064762,OCH
1063508,1064510,NA
1068589,1068700,FEM
1076424,1082367,CHI
1076463,1082379,NA
1095118,1097283,NA
1095491,1097217,CHI
1097909,1101724,NA
1097990,1099011,OCH
1098078,1101645,CHI
1105604,1107511,NA
1105645,1107511,CHI
1111615,1112315,NA
1114574,1115011,NA
1115115,1115277,MAL
1115176,1115277,NA
1116511,1116818,MAL
1116511,1121492,NA
