segment_onset,segment_offset,speaker_type
81869,83491,MAL
81992,83973,NA
83059,83277,FEM
167493,172010,MAL
167511,171654,NA
208811,209491,NA
208815,209482,MAL
271257,272097,NA
363511,365492,NA
363769,365011,FEM
364011,364408,MAL
368665,369487,MAL
368874,369365,NA
373407,376384,NA
373493,376338,FEM
383712,385263,NA
383888,385047,FEM
384733,384836,MAL
385113,385305,MAL
387437,388493,FEM
387464,388493,NA
434236,434658,MAL
434275,434729,NA
442155,442791,FEM
442155,442854,NA
451239,453011,NA
451300,452512,FEM
452010,453056,MAL
536723,543492,NA
536993,537465,CHI
537708,537988,CHI
539011,543372,CHI
539062,540993,OCH
541173,541511,FEM
545341,548876,NA
545466,548011,OCH
545513,546502,CHI
548171,548512,OCH
548287,548408,CHI
551907,553011,CHI
551941,553011,NA
554963,556159,CHI
554963,556256,NA
615263,616498,CHI
615273,616510,NA
755482,757104,NA
755492,757011,CHI
808912,810336,NA
808954,810220,FEM
818492,820011,NA
818623,819992,FEM
824011,824585,NA
828151,830512,NA
828195,830370,FEM
829513,829834,MAL
838568,839012,NA
855993,857389,FEM
855993,861493,NA
857993,859493,FEM
860212,861231,FEM
862010,864010,NA
862677,864010,FEM
865929,867036,NA
866012,866976,FEM
868062,869014,NA
868214,868850,FEM
877011,881012,NA
877699,877880,FEM
877713,878489,MAL
878013,878303,FEM
879555,880520,MAL
880070,880799,FEM
884449,886511,MAL
884512,886012,NA
894510,896489,NA
894512,895990,MAL
895470,896024,FEM
898685,900513,NA
899471,900440,MAL
899535,900350,FEM
906513,908012,MAL
906687,907991,NA
922511,922722,NA
946492,949011,NA
947049,948016,MAL
952992,954735,NA
953562,953992,FEM
953640,954489,MAL
956492,957511,NA
966983,970010,NA
966992,969565,CHI
974467,978043,NA
974492,977580,CHI
978784,981511,NA
978991,980010,CHI
980237,981511,FEM
983630,985344,NA
983786,985020,FEM
990348,992010,NA
990448,991992,FEM
1002512,1004152,CHI
1002512,1004186,NA
1016012,1018012,FEM
1016012,1018315,NA
1019993,1021993,FEM
1019993,1023748,NA
1022325,1023284,CHI
1024007,1026511,NA
1024491,1025510,CHI
1036493,1038358,NA
1036495,1037916,FEM
1037492,1037683,MAL
1042303,1043989,FEM
1042323,1043762,NA
1046993,1048493,CHI
1046993,1048512,NA
1065980,1067154,NA
1065992,1066805,FEM
1066510,1066702,CHI
1070493,1073993,NA
1070535,1071953,CHI
1073144,1073406,CHI
1073370,1073665,FEM
1170361,1174740,NA
1170452,1171493,CHI
1171010,1174510,FEM
1180943,1181983,MAL
1204511,1207938,NA
1204991,1207529,CHI
1208512,1215205,NA
1209095,1215057,CHI
1211492,1213011,OCH
1217825,1222904,NA
1217857,1222849,CHI
1223600,1228138,NA
1223910,1228011,CHI
1236749,1237731,NA
1236840,1237512,CHI
1247051,1248767,NA
1247295,1248491,CHI
1247992,1248473,FEM
1253173,1254908,NA
1253492,1254646,FEM
1332048,1334011,MAL
1332492,1333511,NA
1388733,1391011,NA
1389434,1390671,FEM
1389511,1391366,MAL
1412011,1414049,NA
1412051,1414017,CHI
1426992,1428992,FEM
1426994,1428992,NA
1431010,1432991,NA
1431042,1432785,FEM
1433437,1436010,NA
1433611,1433714,FEM
1434011,1434213,FEM
1434478,1436010,FEM
1437851,1439719,NA
1437991,1439609,FEM
1443511,1443744,NA
1443992,1474208,NA
1444492,1454031,FEM
1445131,1445403,MAL
1447511,1449477,MAL
1454333,1455011,OCH
1455492,1474011,CHI
1462511,1463704,FEM
1494511,1497948,NA
1494764,1495992,OCH
1495493,1496011,CHI
1496097,1497356,MAL
1501858,1502145,NA
1502432,1504511,NA
1502493,1504493,CHI
1506728,1509992,NA
1506769,1509665,CHI
1510982,1511657,NA
1516475,1517455,NA
1516492,1517044,FEM
1518510,1519779,NA
1528890,1530508,MAL
1529032,1530306,NA
1534992,1540991,NA
1535087,1537492,FEM
1538495,1539897,FEM
1545991,1546376,MAL
1548588,1552333,FEM
1548622,1552510,NA
1553178,1554040,NA
1610992,1612992,NA
1611304,1612953,MAL
1611492,1611961,FEM
1612180,1612550,FEM
