child_id,experiment,date_iso,start_time,recording_device_type,recording_filename,duration,its_filename
7201,neurogen,2022-10-04,10:55:17,lena,20221018_135301_043300_3.wav,766625,20221018_135301_043300_3.its
3071,neurogen,2018-12-03,9:09:28,lena,20181207_135636_022875_1.wav,1887312,20181207_135636_022875_1.its
2981,neurogen,2019-03-22,10:01:05,lena,20190404_133218_024880_2.wav,3272437,20190404_133218_024880_2.its
6581,neurogen,2022-08-18,8:23:16,lena,20220830_095853_022873_1.wav,4333937,20220830_095853_022873_1.its
3991,neurogen,2021-08-26,5:25:09,lena,20210909_113112_043299_3.wav,9798375,20210909_113112_043299_3.its
3071,neurogen,2018-12-04,10:05:42,lena,20181207_135636_022875_3.wav,10363187,20181207_135636_022875_3.its
4021,neurogen,2019-10-07,7:23:56,lena,20191015_104144_024880_2.wav,11526750,20191015_104144_024880_2.its
3251,neurogen,2018-04-16,5:53:04,lena,20180417_111117_022874.wav,11775687,20180417_111117_022874.its
4021,neurogen,2019-10-07,1:50:25,lena,20191015_104144_024880_3.wav,12207187,20191015_104144_024880_3.its
3841,neurogen,2021-01-22,9:02:59,lena,20210127_105355_024882_1.wav,14178000,20210127_105355_024882_1.its
3841,neurogen,2021-01-22,3:58:52,lena,20210127_105355_024882_2.wav,14698562,20210127_105355_024882_2.its
5441,neurogen,2020-12-19,3:44:38,lena,20210112_153555_024882_3.wav,14760125,20210112_153555_024882_3.its
3071,neurogen,2018-12-04,2:55:50,lena,20181207_135636_022875_4.wav,14995187,20181207_135636_022875_4.its
4001,neurogen,2019-09-17,6:57:20,lena,20191004_125707_025480_2.wav,16527812,20191004_125707_025480_2.its
3641,neurogen,2020-04-21,8:49:18,lena,20200427_232107_022870_3.wav,19199000,20200427_232107_022870_3.its
5441,neurogen,2020-12-19,7:18:17,lena,20210112_153555_024882_2.wav,19268625,20210112_153555_024882_2.its
3931,neurogen,2020-03-04,6:29:12,lena,20200312_145204_022874.wav,20150812,20200312_145204_022874.its
5421,neurogen,2020-06-24,7:30:48,lena,20200701_171816_024879_2.wav,20389500,20200701_171816_024879_2.its
3281,neurogen,2020-06-30,7:52:21,lena,20200710_084035_024880_2.wav,20608250,20200710_084035_024880_2.its
4001,neurogen,2019-09-17,11:26:32,lena,20191004_125707_025480_1.wav,21796937,20191004_125707_025480_1.its
6371,neurogen,2022-05-08,9:19:32,lena,20220513_113018_024879_2.wav,25847750,20220513_113018_024879_2.its
3071,neurogen,2018-12-03,1:39:23,lena,20181207_135636_022875_2.wav,26493687,20181207_135636_022875_2.its
3991,neurogen,2021-08-26,7:28:05,lena,20210909_113112_043299_2.wav,28956187,20210909_113112_043299_2.its
7191,neurogen,2022-09-22,8:20:20,lena,20220929_145355_045737_2.wav,33686625,20220929_145355_045737_2.its
4011,neurogen,2020-03-22,6:51:20,lena,20200414_125938_024878_2.wav,34729375,20200414_125938_024878_2.its
5751,neurogen,2021-01-26,8:12:21,lena,20210210_105331_024883.wav,35051875,20210210_105331_024883.its
6721,neurogen,2023-05-07,9:06:41,lena,20230509_144410_045737_2.wav,35121875,20230509_144410_045737_2.its
3931,neurogen,2019-02-21,8:55:32,lena,20190226_173707_024879_2.wav,35291187,20190226_173707_024879_2.its
3931,neurogen,2019-08-25,8:59:13,lena,20190828_145417_024879_2.wav,35438812,20190828_145417_024879_2.its
6921,neurogen,2023-02-20,7:28:16,lena,20230301_083834_024880_2.wav,35806000,20230301_083834_024880_2.its
3331,neurogen,2018-12-22,9:34:41,lena,20190110_135751_024878.wav,35955187,20190110_135751_024878.its
3931,neurogen,2020-03-22,9:43:16,lena,20200414_131003_024882.wav,36335687,20200414_131003_024882.its
2861,neurogen,2017-11-19,9:15:15,lena,20171205_123455_009399.wav,36709625,20171205_123455_009399.its
4021,neurogen,2021-05-07,8:32:16,lena,20210520_130852_043305.wav,36906250,20210520_130852_043305.its
3901,neurogen,2020-02-15,10:10:51,lena,20200303_113417_024878_1.wav,37095500,20200303_113417_024878_1.its
6771,neurogen,2022-05-09,9:34:13,lena,20220513_130051_043300_2.wav,37175250,20220513_130051_043300_2.its
5901,neurogen,2020-12-08,9:53:33,lena,20201210_142957_025480_2.wav,37306562,20201210_142957_025480_2.its
3181,neurogen,2018-04-20,7:32:31,lena,20180424_113402_022874.wav,37983062,20180424_113402_022874.its
6771,neurogen,2023-04-01,8:44:41,lena,20230404_115212_043300_2.wav,38302750,20230404_115212_043300_2.its
3641,neurogen,2020-04-20,8:23:45,lena,20200427_232107_022870_1.wav,38397250,20200427_232107_022870_1.its
3441,neurogen,2018-06-27,10:02:22,lena,20180703_141752_022875.wav,38536750,20180703_141752_022875.its
6991,neurogen,2023-02-07,7:47:30,lena,20230214_124426_043302_1.wav,38676500,20230214_124426_043302_1.its
5441,neurogen,2021-07-25,9:21:32,lena,20210901_120042_025480_2.wav,38723937,20210901_120042_025480_2.its
6731,neurogen,2023-10-20,9:11:11,lena,20231025_115855_045737_2.wav,39369562,20231025_115855_045737_2.its
3461,neurogen,2019-10-15,8:45:08,lena,20191030_105145_022870.wav,39394250,20191030_105145_022870.its
6641,neurogen,2022-04-26,8:44:23,lena,20220516_094951_024880_1.wav,39444937,20220516_094951_024880_1.its
2981,neurogen,2019-03-21,8:39:38,lena,20190404_133218_024880_1.wav,39554000,20190404_133218_024880_1.its
1231,neurogen,2020-02-23,7:33:09,lena,20200304_100729_025480.wav,39660437,20200304_100729_025480.its
6451,neurogen,2022-02-26,7:19:47,lena,20220303_120548_045737_2.wav,39869250,20220303_120548_045737_2.its
3951,neurogen,2019-09-12,7:08:18,lena,20190917_075812_025481_1.wav,39922750,20190917_075812_025481_1.its
7201,neurogen,2022-10-11,10:19:01,lena,20221018_135301_043300_4.wav,40018062,20221018_135301_043300_4.its
6261,neurogen,2021-04-24,9:05:34,lena,20210504_102146_025480_2.wav,40028187,20210504_102146_025480_2.its
3891,neurogen,2019-03-02,7:19:02,lena,20190307_114201_025481.wav,40125937,20190307_114201_025481.its
1201,neurogen,2020-07-02,9:10:55,lena,20200710_084537_024878.wav,40335062,20200710_084537_024878.its
7011,neurogen,2023-02-19,8:08:25,lena,20230228_112602_025480_1.wav,40467000,20230228_112602_025480_1.its
6731,neurogen,2022-11-23,7:51:20,lena,20221205_151622_043305_2.wav,40516625,20221205_151622_043305_2.its
3991,neurogen,2019-03-11,8:50:21,lena,20190315_143529_025480_1.wav,40707000,20190315_143529_025480_1.its
7041,neurogen,2022-07-27,7:24:25,lena,20220803_132413_043299_2.wav,40711437,20220803_132413_043299_2.its
5371,neurogen,2021-11-07,7:37:00,lena,20211117_114244_024884_2.wav,40799812,20211117_114244_024884_2.its
3901,neurogen,2019-02-15,9:31:03,lena,20190222_102700_024878_2.wav,40941000,20190222_102700_024878_2.its
6991,neurogen,2022-06-23,9:12:25,lena,20220705_160928_024884_2.wav,40975437,20220705_160928_024884_2.its
5211,neurogen,2020-10-28,8:52:48,lena,20201105_131250_024883_1.wav,40999562,20201105_131250_024883_1.its
4021,neurogen,2019-03-28,8:29:29,lena,20190424_135540_024883_2.wav,41116437,20190424_135540_024883_2.its
