recording_filename,segment_onset,segment_offset,child_id,duration_eaf/an1,voc_dur_chi,non_can_voc_dur_CHI,cry_voc_dur_CHI,cp_dur,can_voc_CHI,non_can_voc_CHI,5s_CTC,can_voc_dur_CHI,wc_adu,wc_fem,avg_voc_dur_chi,voc_chi,voc_dur_och,voc_dur_fem,voc_dur_mal,wc_mal,overlap_dur,speechlike_pitch,nonspeechlike_pitch
20180530_181655_022873.wav,1639000,1759000,3321,120000,97631.0,1118.0,96513.0,0.0,0,2,34,0.0,92,87,2324.5476190476197,42,1717.0,20881.0,0.0,0,11830,"[217.35045784619277, 427.35954430018313]","[459.9129886741873, 431.70315472215657, 451.39711494298393, 399.809200300113, 435.3860812039489, 361.7957026895908, 419.76041245409095, 392.14979575225544, 429.78864936252893, 386.3374787029409, 415.4468990210478, 376.9703402025007, 368.97628265006233, 464.74044323928155, 405.41958705430625, 371.23188119549525, 397.57690007802887, 370.1678523136552, 483.6930226274982, 492.25582988700796, 459.63038957745687, 337.1412287744872, 472.75815947933074, 466.78542869561016, 452.7635266824303, 416.0984161442761, 415.72703447089253, 349.9834793426935, 444.1563376092959, 460.30854861814527, 530.9128536644223, 426.96504378640304, 398.84130020703867, 520.926655627893, 441.44292067278917, 536.8233717285306, 464.64381694816774, 391.4175234042966, 381.37997871511965, 450.3912378205035]"
20180530_181655_022873.wav,2072000,2192000,3321,120000,14614.0,12536.0,0.0,0.1421924182290954,2,11,3,2078.0,133,30,1124.1538461538462,13,35622.0,7852.0,0.0,0,2156,"[428.0310859177936, 519.8279591611564, 419.9077502208802, 303.00904083162084, 495.27492121367504, 519.1592142985774, 424.95887011066026, 375.876052633454, 392.4876997070042, 369.2615088836453, 433.96439160052734, 273.97622586962063, 341.30098501416194]",[]
20180530_181655_022873.wav,2202000,2322000,3321,120000,9315.0,8367.0,0.0,0.1017713365539452,1,4,4,948.0,73,57,1863.0,5,4774.0,11752.0,0.0,0,0,"[nan, 437.6902559267738, 567.3872199170063, 506.8216020321405, 530.8176417634724]",[]
20180530_181655_022873.wav,5817000,5937000,3321,120000,5216.0,4608.0,0.0,0.1165644171779141,1,7,1,608.0,28,18,652.0,8,4262.0,3351.0,0.0,0,0,"[458.76156350943626, 420.4500504888374, 336.7944360052187, 479.24295898115406, 714.629410907699, 638.4872748863056, 352.10515531337717, 364.09224326395395]",[]
20180530_181655_022873.wav,6620000,6740000,3321,120000,12783.0,6710.0,0.0,0.4750840960650864,6,7,9,6073.0,118,83,983.3076923076924,13,17753.0,25865.0,0.0,0,981,"[524.3620191948182, 379.4342506112249, 294.0073688186003, 339.4512357131621, 419.95815602552085, 485.10096227559484, 341.5285030991296, 276.8724615069029, 257.7055895445338, 315.8781403807115, 345.49753637431945, 341.09378461776157, 453.1911410031578]",[]
20180530_181655_022873.wav,6837000,6957000,3321,120000,42110.0,40820.0,0.0,0.0306340536689622,2,41,33,1290.0,182,159,979.3023255813954,43,10191.0,37838.0,0.0,0,7606,"[490.7666118497244, 398.19167882889815, 328.30379817513284, 351.93666899054426, 407.43570398837886, 397.10699962275345, 420.7641513642659, 456.2445078781127, 482.13033223442335, 552.1158455649665, 463.4711732336174, 501.8122914946801, 469.98689842248496, 441.2215895711142, 478.9680906032938, 343.5105404873055, 260.19034704150266, 565.224082274716, 557.983300025171, 531.5550661167165, 262.5064131938541, 464.5726662017349, 451.09390244346497, 459.8927918396692, 398.43637312147223, 452.3622457473228, 419.6357800122325, 464.50780698444197, 338.6098695847649, 433.27243205716013, 303.21390630723437, 321.92401139438164, 311.36685801448874, 482.09966684411364, 441.2241584711406, 357.0615946618397, 495.3096320619945, 489.00476829132964, 395.9008661364006, 407.99515140083724, 374.3815606342171, 360.12570302031924, 381.5755974083496]",[]
20180530_181655_022873.wav,7296000,7416000,3321,120000,4743.0,2599.0,0.0,0.4520345772717689,1,4,6,2144.0,94,57,948.6,5,21892.0,15986.0,0.0,0,1302,"[445.93444195768086, 535.1020334872352, 387.66106546493535, 278.7226317094299, 286.3421155452908]",[]
20180530_181655_022873.wav,9384000,9504000,3321,120000,12440.0,11822.0,0.0,0.0496784565916398,1,17,0,618.0,44,0,691.1111111111111,18,17773.0,0.0,0.0,0,0,"[275.5554426821351, 314.6822037232926, 333.1704297160046, 379.83091827095694, nan, 713.4422983684673, nan, 419.0477596072537, 500.691285892892, 485.6334191252212, 438.1695293704254, 430.1461799560446, 463.5962423622405, 480.95111035227126, 408.42724881521434, 366.2442047650612, 528.7958472537097, 481.9484882920258]",[]
20180530_181655_022873.wav,14868000,14988000,3321,120000,24523.0,22961.0,0.0,0.0636953064470089,3,33,9,1562.0,94,66,681.1944444444445,36,11144.0,14800.0,0.0,0,500,"[299.42271894982764, 414.65427429357266, 396.9864830222538, 289.6560723760339, 322.18743531368824, 298.57485234234366, 497.283863708433, 655.8609000023546, 362.2403652580996, 587.3372258439971, 453.97767251565364, 616.5307770493265, 568.8813237938077, 592.2981475954367, 437.8379052227982, 497.8971674230766, 626.1651095346932, 467.4694878598593, 461.2373335244538, 437.9584725121441, 495.0281672684596, 512.5611036246472, 480.5321431518332, 416.05123946033063, 431.5618481002055, 389.2688115859227, 291.8541775923919, 331.87959129985984, 352.95787584136593, 369.2969151716789, 322.59132995142363, 478.7749957337394, 578.2487214723368, 574.7588277839965, 616.1144208170103, 510.8899546505361]",[]
20180530_181655_022873.wav,15408000,15528000,3321,120000,66789.0,63758.0,3031.0,0.0,0,30,2,0.0,5,5,2154.483870967742,31,0.0,1093.0,0.0,0,0,"[351.780106950414, 279.22932378351237, 488.88755784861013, 484.90931488454675, 430.235910616246, 419.1623546937308, 386.82456892597395, 405.6210941192123, 436.77866649009553, 463.03941459903126, 480.4995359674779, 478.5865607739255, 431.6223560276107, 365.43445885257916, 368.0647685037438, 440.2128196041369, 432.96678424124974, 443.3472341016072, 465.49451659684485, 516.6621030865155, 411.44554332506016, 480.6099672402963, 457.32599269825647, 448.8589042171765, 391.0121646060168, 570.18537349415, 314.1662840020581, 442.89188122763403, 413.5835301588288, 367.5658772738845]",[387.37475595266415]
20180530_181655_022873.wav,16289000,16409000,3321,120000,1990.0,897.0,0.0,0.5492462311557789,2,2,4,1093.0,105,105,497.5,4,0.0,28859.0,0.0,0,294,"[458.88419106561287, 315.90972825572214, 379.14275159572844, 279.48803196606735]",[]
20180530_181655_022873.wav,18264000,18384000,3321,120000,40361.0,40361.0,0.0,0.0,0,19,4,0.0,36,29,2124.2631578947367,19,2763.0,6727.0,0.0,0,0,"[401.83625158383734, 423.3583288438239, 417.57120954679056, 367.28669826406207, 386.99081154743993, 337.53555344498596, 376.2776363398745, 557.7480611516157, 466.10932963430736, 496.7483153193125, 463.54178810491265, 421.5821775170087, 462.69572118687273, 431.0951465575476, 375.26349138969437, 416.7729784016377, 422.5487344391134, 403.0671439994059, 332.59978809320717]",[]
20180530_181655_022873.wav,28611000,28731000,3321,120000,5314.0,5314.0,0.0,0.0,0,2,0,0.0,0,0,2657.0,2,0.0,0.0,0.0,0,0,"[531.4105354836072, 497.1508442638516]",[]
20180530_181655_022873.wav,36581000,36701000,3321,120000,1077.0,1077.0,0.0,0.0,0,2,4,0.0,86,66,538.5,2,8315.0,16528.0,0.0,0,36,"[454.08394823091345, 367.1454150229976]",[]
20180530_181655_022873.wav,39778000,39898000,3321,120000,22304.0,19927.0,0.0,0.1065728120516499,3,13,19,2377.0,115,76,1394.0,16,15908.0,18412.0,0.0,0,3065,"[528.2617011702774, 441.44403154044, 553.1306938804094, 534.3906174488882, 532.8347335289211, 406.95242945470795, 447.97357439284957, 462.069154269984, 428.82410365218806, 557.3009666198025, 436.09298633299943, 464.6412315957049, 450.1349734567642, 447.7921526631282, 395.80843925397113, 520.1107042447968]",[]
20180808_110630_024879.wav,1639000,1759000,3501,120000,5839.0,3401.0,0.0,0.4175372495290289,4,7,13,2438.0,50,50,530.8181818181819,11,0.0,11676.0,0.0,0,0,"[238.90957093785758, 347.70111164615867, 376.96878308098417, 372.31495506324944, 356.38360364441144, 339.8833839800934, 349.026917402264, 361.7630496909184, 352.9510242281538, 256.1594058101051, 435.1977546816375]",[]
20180808_110630_024879.wav,2072000,2192000,3501,120000,5349.0,4633.0,0.0,0.1338567956627407,1,7,0,716.0,1,1,668.625,8,0.0,505.0,0.0,0,0,"[276.4658175455741, 384.64556125616014, 477.8606468268526, 506.1485475671799, 385.8958985651279, 409.94455193098713, 601.8851432757165, 310.80478191422134]",[]
20180808_110630_024879.wav,2202000,2322000,3501,120000,7945.0,7945.0,0.0,0.0,0,10,5,0.0,34,34,794.5,10,0.0,9164.0,0.0,0,456,"[269.7977381926019, 279.2033985584033, 624.1968450112579, 583.7474493005782, 518.3487360593205, 618.8225670266945, 574.871364279204, 518.2114195153024, 587.4259108915871, 292.23517246782785]",[]
20180808_110630_024879.wav,5817000,5937000,3501,120000,10896.0,9550.0,0.0,0.1235315712187958,2,11,7,1346.0,14,14,838.1538461538462,13,0.0,4850.0,0.0,0,0,"[303.20184826607556, 325.940699893457, 343.0183014677024, 315.42769698961166, 332.08691804810525, 300.3470756270039, 313.5398125685488, 379.9619532897191, 429.76605499686434, 362.90319767237594, 353.0265058749304, 342.8624413836408, 332.85330723522014]",[]
20180808_110630_024879.wav,6620000,6740000,3501,120000,16185.0,14448.0,0.0,0.107321594068582,2,18,19,1737.0,80,80,809.25,20,0.0,24822.0,0.0,0,652,"[329.47221231499935, 363.511950331694, 242.29653684564755, 303.28200761652204, 341.8623960966044, 509.6047814483204, 355.6134181436991, 363.8509935772779, 439.95747859681046, 295.0960377561066, 361.52212814327095, 291.6849699265784, 424.28823006889985, 471.66465998265363, 447.91419091067075, 573.0519191059475, 478.18679250750324, 409.96526997145, 384.5506250091765, 463.458163957111]",[]
20180808_110630_024879.wav,6837000,6957000,3501,120000,7881.0,1627.0,0.0,0.7935541174977795,10,7,6,6254.0,25,25,463.5882352941176,17,0.0,7703.0,0.0,0,0,"[312.40861776200643, 207.99056363024997, 341.69937976127903, 453.3960629156074, 324.8112000991263, 343.25518801597667, 316.78539951464523, 358.88198167097306, 293.0969944247979, 330.35986797692414, 510.83706859658923, 292.178443382564, 362.4256868652308, 314.17053555100864, 321.90411929621115, 337.48308029632454, 282.40630883789237]",[]
20180808_110630_024879.wav,7296000,7416000,3501,120000,18499.0,12794.0,0.0,0.3083950483809936,6,20,25,5705.0,94,94,711.5,26,0.0,37699.0,0.0,0,2581,"[400.0809191669006, 596.8121166394014, 322.58945313547844, 286.89178605022437, 439.98134250827326, 341.9070304504961, 322.9516922314639, 392.36266720106426, 219.57873439972653, 390.21334249044975, 339.44480739202453, 392.88478163110096, 536.1090089259209, 516.8164210878766, 399.98980780648077, 441.23663192039436, 335.93282142618347, 311.52407688313565, 292.58558171078715, 303.3322212534652, 292.64305851800304, 257.2282791165227, 306.69670131224257, 289.7184151478258, 365.2185011083637, 279.92177205990913]",[]
20180808_110630_024879.wav,9384000,9504000,3501,120000,2928.0,1005.0,0.0,0.6567622950819673,2,2,0,1923.0,6,6,732.0,4,0.0,1289.0,0.0,0,0,"[321.10826719850104, 301.3176196157428, 307.42824955733977, 373.6053475480086]",[]
20180808_110630_024879.wav,14868000,14988000,3501,120000,0.0,0.0,0.0,,0,0,0,0.0,0,0,,0,0.0,0.0,0.0,0,0,[],[]
20180808_110630_024879.wav,16289000,16409000,3501,120000,0.0,0.0,0.0,,0,0,0,0.0,0,0,,0,0.0,0.0,0.0,0,0,[],[]
20180808_110630_024879.wav,18264000,18384000,3501,120000,0.0,0.0,0.0,,0,0,0,0.0,0,0,,0,0.0,0.0,0.0,0,0,[],[]
20180808_110630_024879.wav,28611000,28731000,3501,120000,59324.0,39168.0,9353.0,0.2161853875247643,9,32,21,10803.0,39,16,1289.6521739130435,46,0.0,4914.0,7244.0,23,1301,"[415.8837588121572, 556.0487559837115, 260.477054610507, 438.0966728662637, 492.5467936387552, 545.8902409043287, 576.5765443155904, 681.7313861578098, 452.8570641606296, 438.4394087469425, 474.9638395199796, 429.9079271382293, 362.27090569701886, 446.11645974150883, 413.2212567726531, 587.0544987228403, 416.92143270109284, 410.9438679378768, 515.3339415216716, 496.0330514243877, 413.6614822826838, 482.57643056962604, 319.67175094075674, 413.9699832902518, 462.5541944046142, 490.8617297953468, 397.1965518557022, 406.3011843164983, 200.51909385823896, 503.90453502000395, 406.3567390021695, 317.50352331201066, 344.44839826679674, 346.92890321456156, 645.4355259277704, 528.2774703218887, 415.9639127768445, 341.9442705781338, 362.8938817245154, 547.8977393259527, 408.9251254531085]","[311.0203978787232, 412.41498782700666, 409.1828812412667, 407.396226519223, 430.35979517509054]"
20180808_110630_024879.wav,36581000,36701000,3501,120000,2052.0,418.0,0.0,0.7962962962962963,4,1,6,1634.0,21,21,410.4,5,0.0,6077.0,0.0,0,0,"[308.33795077801966, 348.3308537891338, 288.1867024345536, 298.5395079844286, 282.77657122890776]",[]
20180808_110630_024879.wav,39778000,39898000,3501,120000,30140.0,27517.0,0.0,0.0759905977165883,2,22,14,2263.0,93,69,1205.6,25,0.0,21660.0,7725.0,24,3323,"[439.88502518778864, 366.4754623204002, 473.65398987144954, 567.534938571563, 540.4060152301352, 474.52320400380125, 535.7082964444138, 416.8653530860924, 431.4296646708204, 379.1213257256655, 485.949873144817, 426.1279263783608, 513.1743719901252, 351.9705043325717, 433.98142986621787, 368.62715784681234, 356.4782861590785, 453.7265765083829, 508.2533746938896, 677.4530429561502, 291.3866714322689, 418.74081185850645, 430.4898481054226, 412.1527539173414]",[389.4342655345445]
20180808_110630_024879.wav,41905000,42025000,3501,120000,4741.0,1716.0,0.0,0.6380510440835266,4,4,11,3025.0,155,107,592.625,8,0.0,30422.0,15151.0,48,2049,"[355.5687050554717, 307.91519674478394, 484.282517963158, 432.26719750351896, nan, 387.12714564039624, 364.9740789997218, 368.85746336309523]",[]
20180808_111213_024881.wav,1639000,1759000,2761,120000,15070.0,9929.0,0.0,0.3411413404114134,3,5,0,5141.0,0,0,1883.75,8,0.0,0.0,0.0,0,0,"[247.84825319432744, 251.1031191922398, 229.5936449325727, 240.15980690614018, 236.1295288742254, 243.7705508326985, 244.57908182888266, 241.79266671069036]",[]
20180808_111213_024881.wav,2072000,2192000,2761,120000,0.0,0.0,0.0,,0,0,0,0.0,25,11,,0,4044.0,4203.0,0.0,0,0,[],[]
20180808_111213_024881.wav,2202000,2322000,2761,120000,11165.0,3434.0,0.0,0.6924317062248097,8,4,0,7731.0,9,0,930.4166666666666,12,5356.0,0.0,0.0,0,0,"[336.9699312531026, 374.00876499391444, 358.05697703981406, 302.1069029094696, 334.9726323939156, 335.7353543013773, 341.80114692875446, 322.69168626629295, 322.55749875678805, 287.8000323465584, 321.91905353603045, 256.497035143511]",[]
20180808_111213_024881.wav,5817000,5937000,2761,120000,4254.0,546.0,0.0,0.8716502115655853,3,1,0,3708.0,0,0,1063.5,4,0.0,0.0,0.0,0,0,"[443.3805647955679, 453.92603684618103, 381.25619688556947, 513.8490364257297]",[]
20180808_111213_024881.wav,6837000,6957000,2761,120000,0.0,0.0,0.0,,0,0,0,0.0,0,0,,0,0.0,0.0,0.0,0,0,[],[]
20180808_111213_024881.wav,7296000,7416000,2761,120000,0.0,0.0,0.0,,0,0,0,0.0,0,0,,0,0.0,0.0,0.0,0,0,[],[]
20180808_111213_024881.wav,9384000,9504000,2761,120000,6994.0,838.0,0.0,0.8720219914477703,10,3,3,5710.0,49,16,499.57142857142856,14,14155.0,5369.0,0.0,0,0,"[386.21045645361403, 307.69348369909113, 535.6612765911699, 274.99568491001395, 284.4908567947124, 284.47389975008616, 355.9294890171916, 222.79543852238413, 323.0285443235222, 425.61504782908185, 269.8487160414084, 347.7554637593122, 415.5845908356177]",[366.13016378100906]
20180808_111213_024881.wav,14868000,14988000,2761,120000,12925.0,7356.0,0.0,0.4308704061895551,12,9,2,5569.0,6,4,615.4761904761905,21,1555.0,1656.0,0.0,0,0,"[286.85970101660706, 338.670070314666, 504.877317822996, 474.05406859801235, 673.023010158166, 340.37607017601124, 337.7751562023418, 534.0682132410166, 513.5206152546338, 452.6151773562633, 544.5027436519438, 329.5940992380637, 245.73124343806552, 239.67850997708211, 276.82574969562205, 245.346295864018, 231.37831086843022, 278.05208086857056, nan, 241.56576537934188, 260.1939380793074]",[]
20180808_111213_024881.wav,16289000,16409000,2761,120000,19576.0,7717.0,0.0,0.6057928075194116,14,14,7,11859.0,148,32,699.1428571428571,28,42050.0,11837.0,0.0,0,6078,"[330.02362194465235, 272.92409605362076, 333.98838969424986, 501.59439007205106, 646.3538462403133, 642.9466012728375, 524.7323612499611, 461.71051674909717, 382.0919629152701, 298.35112008469594, 306.24530140712784, 368.1112047412796, 452.957398518729, 574.39619947305, 416.4842590061182, 399.65762191039966, 492.1910902672358, 392.3983137766238, 290.8555530523585, 588.1054197030226, 706.6261853646096, 441.6346289365644, 429.1599035315745, 385.6082114220509, 363.0985444990693, 377.99529264732007, 363.00098053786445, 332.0972036471912]",[]
20180808_111213_024881.wav,18264000,18384000,2761,120000,1071.0,0.0,0.0,1.0,1,0,0,1071.0,7,0,1071.0,1,1461.0,0.0,0.0,0,0,[321.1521105232071],[]
20180808_111213_024881.wav,28611000,28731000,2761,120000,0.0,0.0,0.0,,0,0,0,0.0,0,0,,0,0.0,0.0,0.0,0,0,[],[]
20180808_111213_024881.wav,36581000,36701000,2761,120000,4967.0,3346.0,0.0,0.3263539359774511,3,9,1,1621.0,34,1,413.9166666666667,12,8474.0,827.0,0.0,0,0,"[377.55967252483754, 356.3811800090301, 374.9626656382419, 449.4020904191883, 402.8555126282159, 450.4181749463217, 405.5628386807981, 325.61992270136363, 288.2510872936273, 323.004560140003, 275.7873426641965, 266.62584167559856]",[]
20180808_111213_024881.wav,39778000,39898000,2761,120000,6470.0,5504.0,0.0,0.1493044822256568,2,10,0,966.0,0,0,539.1666666666666,12,0.0,0.0,0.0,0,0,"[422.62818496299747, 379.93440123726157, 339.7940934372063, 459.7446531009343, 460.6113020760853, 466.3233848855533, 405.9779758034977, 349.8892887474205, nan, 459.9830453614133, 444.7760014537294, 570.9371112991931]",[]
20180808_111213_024881.wav,41905000,42025000,2761,120000,3708.0,2405.0,0.0,0.3514023732470334,4,7,0,1303.0,5,0,337.09090909090907,11,2296.0,0.0,0.0,0,0,"[340.81448731459125, 343.9646418637863, 351.886933276346, 356.89658126721986, 347.86074280230474, 370.568182614164, 290.5683190219214, 288.66478927708675, 349.98395197626473, 295.5476643102294, 252.53764537135206]",[]
20180808_111213_024881.wav,45308000,45428000,2761,120000,23516.0,5321.0,0.0,0.7737285252593978,18,11,0,18195.0,26,0,810.8965517241379,29,6411.0,0.0,0.0,0,0,"[507.78208665541325, 385.7027515679314, 424.7663800125428, 495.52314662601344, 534.1257442970821, 349.85185560267985, 405.43159965553224, 376.1358051357835, 430.0096904280603, 332.48217204499855, 419.81628152067344, 400.82387851092983, 291.2357736723652, 475.73562091576815, 302.19777709374455, 367.09528428278674, 524.9881702993747, 442.04530682499774, 410.11785073631415, 366.5354005003856, 384.9854964386963, 350.731224005023, 379.71303331869643, 448.2872197280706, 396.3401182568106, 366.920338475818, 314.46165584404923, 284.83061880085796, 377.7541694641238]",[]
20180809_181624_025481.wav,1639000,1759000,2781,120000,36692.0,31581.0,2676.0,0.0715839604891815,3,36,35,2435.0,136,130,917.3,40,1522.0,33060.0,0.0,0,805,"[418.60197371783755, 440.56156986801494, 379.7608659140789, nan, 339.01654714099107, 260.6321407550231, 318.10220813857296, 341.80945181017336, 530.4758749464684, 401.4835192530467, 365.26739329305497, 468.8721318009649, 364.8171269051728, 575.7346797986299, 470.8174117171343, 369.8258427773783, 450.771745388258, 368.80448360427295, 345.73432744585324, 489.2006722973006, 400.397940164672, 374.77727935021704, 435.9409240871477, 519.8266594240426, 511.57957263018704, 401.50467154507476, 468.6146879998062, 403.6662368029873, 718.7516709757447, 431.53599629600683, 422.61897340886964, 420.3810704754234, 386.572681910332, 407.0647267224319, 396.8825919286157, 396.46401721406477, 424.09059994146764, 480.7718644391346, 320.4295174096681]",[429.6569717115748]
20180809_181624_025481.wav,2072000,2192000,2781,120000,36178.0,25282.0,2146.0,0.2571109543958627,9,33,12,8750.0,62,45,841.3488372093024,43,5011.0,8996.0,0.0,0,1409,"[314.9653421697616, 295.09696335821246, 310.4136969651585, 433.27376779085483, 596.865085136068, 618.8120248029622, 659.1638763191729, 362.68844073812323, 313.1145676720199, 369.99683555850714, 368.06619309465805, 507.87962644169096, 585.1183431717417, 477.87598999492224, 421.2892489335363, 480.74613899781156, 490.73227421178484, 431.0986898449704, 517.5323540006, 516.8719419222679, 338.3524347717869, 370.28108598656286, 418.49947111946534, 376.3150989592867, 384.48951119410134, 422.47646296571463, 469.28731062151695, 491.5023682575924, 396.4506184905189, 330.8480961988711, 474.29741206031287, 335.0588853033221, 328.1590464105064, 340.99833297211956, 344.67083063065706, 480.0470968084412, 419.36070260411526, nan, nan, nan, 371.6437591477654, 353.8425568931218]",[536.5033344452053]
20180809_181624_025481.wav,2202000,2322000,2781,120000,0.0,0.0,0.0,,0,0,0,0.0,0,0,,0,0.0,0.0,0.0,0,0,[],[]
20180809_181624_025481.wav,5817000,5937000,2781,120000,2357.0,1733.0,0.0,0.2647433177768349,1,5,0,624.0,0,0,392.8333333333333,6,0.0,0.0,0.0,0,0,"[337.4150278858197, 421.87055870285224, 309.9140497193832, 371.5246847646029, 370.7708638119672, 250.65158071342782]",[]
20180809_181624_025481.wav,6620000,6740000,2781,120000,436.0,280.0,0.0,0.3577981651376147,1,1,0,156.0,0,0,218.0,2,0.0,0.0,0.0,0,0,"[309.5282323719462, 257.2788159517355]",[]
20180809_181624_025481.wav,6837000,6957000,2781,120000,7834.0,6499.0,0.0,0.1704110288486086,3,15,19,1335.0,96,96,435.22222222222223,18,0.0,18602.0,0.0,0,151,"[325.313789037501, 301.2427478869707, 359.5657864071064, 332.29714716137323, 373.3229498285374, 297.9091970195772, 258.7139599532456, 271.9962128531942, 291.5982375124628, nan, 348.1886485152445, 356.21516475328633, 264.66040489639886, 484.61052241838485, 455.32786620440766, 365.7016874164214, 233.69598705145577, 323.66614716192595]",[]
20180809_181624_025481.wav,7296000,7416000,2781,120000,33811.0,15624.0,0.0,0.3129589727804406,8,21,49,7117.0,162,161,939.1944444444443,36,402.0,42459.0,0.0,0,8909,"[272.2616990435486, 281.14376516781317, 270.7314169438793, 519.0757064190855, 288.9881053581715, 317.0886416668207, 300.5378221118022, 382.5569148646242, 317.33109785332834, 370.37826169783784, 268.57254589676074, 382.6388365260019, 328.0117671363281, 479.5795434987254, 271.901864174058, 276.9121054696865, 310.84015637536896, 288.34682322840126, 303.6996747839154, 339.5655310727383, 461.2647537264374, 430.80427120416846, 289.0501297690105, 371.1975046791262, 297.18926993656964, 313.4955957714717, 389.7893698733896, 351.70701634798735, 292.408503035667]","[381.64437723054533, 470.13480838017614, 338.7926865379461, 399.5376540681635, 469.73895237667847, 458.6406311936979, 413.8338594891652]"
20180809_181624_025481.wav,9384000,9504000,2781,120000,9840.0,2236.0,0.0,0.7727642276422764,8,4,11,7604.0,193,100,820.0,12,34260.0,27191.0,0.0,0,3102,"[309.4165470722753, 225.81638510266305, 490.1352981943333, 412.53526126095306, 497.8989522201, 357.7892517856644, 273.455364913983, 302.76220703603167, 484.1480409373855, 633.2811326151318, 473.0054434521235, 464.8469451285454]",[]
