recording_filename,segment_onset,segment_offset,child_id,duration_its,voc_dur_chi,voc_chi,avg_voc_dur_chi,wc_fem,wc_mal,wc_adu,5s_CTC,CVC,speechlike_pitch,nonspeechlike_pitch
20180530_181655_022873.wav,1639000,1759000,3321,120000,86850.0,39,2226.923076923077,25.45,0.0,25.45,1,6.0,"[470.87982169531733, 462.23271576637654, 532.5522994270113, 404.79756802740445, 420.9901079471201, 590.8035986845338]","[362.63961616253926, 435.41194608775675, 455.85140890618226, 357.7548362549025, 389.4395449385032, 432.6110059106067, 390.0381832909656, 375.7715694313057, 354.15043399228875, 476.74607403850075, 371.22642140207853, 421.58277260895085, 317.2976904097277, 508.652007267189, 481.8221129296192, 419.01112320127964, 467.00480776140364, 496.86449733156354, 511.31899459420674, 431.2802818633154, 414.2072033796027, 401.61201460865334, 351.31490801330625, 481.8758717001931, 490.0008439476279, 441.6513013430612, 349.55002630667735, 461.75395966386054, 457.08238128782443, 521.0129280963738, 452.0132948032652, 355.2791791801132, 453.4709343374653]"
20180530_181655_022873.wav,2072000,2192000,3321,120000,15990.0,14,1142.142857142857,7.42,0.0,7.42,1,7.0,"[430.0788301161887, 308.65484115743936, 648.7120795051569, 369.6952161931742, 392.2927635293512, 314.2608368331901, 238.07230151485786]","[519.7865311538463, 494.4214323470933, 525.9479713943541, 415.4468689796294, 387.04866433398166, 372.13197436616207, 402.53895508637925]"
20180530_181655_022873.wav,2202000,2322000,3321,120000,8650.0,8,1081.25,26.37,0.0,26.37,0,4.0,"[524.8619875985742, 554.7579029625282, 504.2786295582157, 529.9168563897873]","[427.6118686466773, 301.68945855430843, 564.2451831947742, 509.619273728173]"
20180530_181655_022873.wav,5817000,5937000,3321,120000,4510.0,7,644.2857142857143,0.0,0.47,0.47,0,3.0,"[325.1892490463953, 466.0726786383075]","[446.78058435265007, 491.31266438510823, nan, 635.6520043523072, 363.3195836557522]"
20180530_181655_022873.wav,6620000,6740000,3321,120000,5290.0,7,755.7142857142857,1.69,0.0,1.69,0,2.0,"[292.6557660717442, 344.02950526354255]","[492.5482934157045, 637.3377861567694, 422.7023982980266, 525.0274089404578, 356.6155094952172]"
20180530_181655_022873.wav,6837000,6957000,3321,120000,34020.0,24,1417.5,57.46,0.0,57.46,0,4.0,"[330.6862872972707, 407.36185582191325, 463.57725534171715, 296.8820698714478]","[478.7226048395947, 325.8066013054029, 532.9244356084885, 467.01350582369787, 453.9239990050822, 465.03842676786877, 568.2358579978076, 488.9146342422988, 462.99708155967073, 454.0750131838664, 382.0269710225925, 475.6813874332214, 398.54826097248537, 449.03736493158726, 401.7163563663984, 520.5461213691568, 498.8230753053105, 422.16802429648413, 388.88272291273006, 393.63732191235187]"
20180530_181655_022873.wav,7296000,7416000,3321,120000,4520.0,6,753.3333333333334,27.600000000000005,0.0,27.6,1,3.0,"[535.9389709413263, 354.77955688719106, 284.08030837836566]","[460.6918247481855, 636.2001563121489, 571.7057104665828]"
20180530_181655_022873.wav,9384000,9504000,3321,120000,17480.0,15,1165.3333333333333,0.0,0.0,0.0,0,7.0,"[375.04101230073286, 684.4407044441297, 416.08879817228865, 403.83197939422513, 460.7391688320589, 335.39425244622265, 469.7031225173964]","[376.0168541848496, 503.2943468430454, 531.5683217994136, 466.1040820659591, 631.1613264293997, 566.4171660676983, 371.6810177831739, 510.79910406656677]"
20180530_181655_022873.wav,14868000,14988000,3321,120000,37460.0,24,1560.8333333333333,62.93,0.0,62.93000000000001,5,16.0,"[277.8268241793652, 305.52393144053184, 255.9418398487045, 556.4275143419027, 516.6546061768348, 355.73847258275157, 244.01680076058622, 327.79004570543736, 358.78920206814115, 349.4590828587099]","[296.372360112509, 435.65896591494794, 389.6798283553956, 321.11078221509524, 494.5300923187675, 528.6212633752574, 598.3355217623717, 523.3945942404196, 455.95846871873636, nan, 455.4971657785806, 433.55492440478406, 476.0008461356371, 601.5256594092438]"
20180530_181655_022873.wav,15408000,15528000,3321,120000,70540.0,25,2821.6,0.96,0.0,0.96,0,3.0,"[499.304373532351, 326.83974944457896, 292.10317362079985]","[429.9122432682977, 472.8946482454955, 480.47635169151283, 468.10753770683885, 374.5040297195468, 364.44636570381397, 444.22051579866286, 405.13966964598444, 443.244338545532, 448.0634538672299, 477.0944909857155, 463.54040217528353, 473.0759253096559, 450.60593132562343, 471.8389015690407, 396.78615450723254, 347.0049012114607, 600.0231441572545, 277.50789363722095, 433.5945920003167, 408.4578037373343, 369.2308822827198]"
